symbol,year_report,length_report,update_date,revenue,revenue_growth,net_profit,net_profit_growth,ebit_margin,roe,roic,roa,pe,pb,eps,current_ratio,cash_ratio,quick_ratio,interest_coverage,ae,fae,net_profit_margin,gross_margin,ev,issue_share,ps,pcf,bvps,ev_per_ebitda,at,fat,acp,dso,dpo,eps_ttm,charter_capital,rtq4,charter_capital_ratio,rtq10,dividend,ebitda,ebit,le,de,ccc,rtq17
HSI,2022.0,5.0,1680012578867.0,200922547405.0,-0.14453084078973621,-16441832690.0,-3.1227136851402566,-0.09188929373757558,1.1663312712,-0.0822148381,-0.053972736,-0.7559984482,0.0,-1644.183269,0.7517020897,0.0133643543,0.4731009783,,-14.01110584761472,-2.0778117644847427,-0.08183169535899902,-0.008804395777613846,12430000000.0,10000000.0,0.0618646347,-4.1337545986,0.0,-27.7581790361,0.6595578366,4.174859672,322.02143537272605,156.4172665256,75.4588611676,-1644.183269,100000000000.0,0,-0.21085120481,-15.0111058476,0.0,-9145082422,-18462630977.0,-11.6504337844,-15.0111058476,553.8975630659261,2.3335019727
SPV,2024.0,5.0,1739976462507.0,580399076996.0,0.29558366515209916,21327897299.0,0.182284473596831,0.06486785544089527,0.1235228863,0.119855255,0.0574530185,16.6807210705,1.6882391546,1974.805305462963,1.1732810146,0.1152600578,0.3961462277,-5.679506367597305,2.2453353741967272,0.56862793462067,0.037780022000784654,0.21155500505882172,302400000000.0,10800000.0,0.5356683077,-17.6658416286,16585.3279285185,8.8005317059,1.5207248549,5.3797505767,47.34189927880944,95.1854360888,45.1427579034,1678.5845097222,108000000000.0,0.0879291226,1.6585327928518518,1.2453353742,0.0178571429,46126781157,36619749952.0,0.7936598619999999,1.2453353742,187.67009327100945,3.8346202423
VTH,2025.0,5.0,1769791341663.0,1133906688788.0,0.4864611856251137,10700317724.0,0.161070621191427,0.03461973021645494,0.1040645096,0.063315364,0.0167730458,5.9063584494,0.5854898466,1354.4724839490282,1.0072706287,0.0329913155,0.3425263059,-1.5847228425491666,7.102788086451669,2.5792968035044908,0.009437116889705558,0.07661868506062064,63199912000.0,7899989.0,0.0557389951,0.0766808641,13663.7723894299,11.5404525761,1.7773485286,6.5285378174,36.59139786074981,75.022362453,35.9813754393,1354.472483949,108999890000.0,1.8301689933,0.9903097294410114,6.1027880865,0.0,48526031044,39253737891.0,6.5736449154,6.1027880865,147.59513575304982,4.8652160245
VE9,2025.0,5.0,1768923536817.0,246214833.0,0.40366934803429716,2826670271.0,39.565512535144485,5.415231352044497,0.2645336163,0.1102016685,0.1558808065,17.0264799728,3.9779284245,225.70725165333678,3.1517007156,1.2599951592,1.4240697422,-884.8333728197052,1.3995456544642924,0.11005299730274111,11.4805035771342,0.2463922634587982,48128244759.0,12523613.0,195.4725642342,34.4765809577,966.080730936,30.6759584693,0.0135778719,0.1817728731,50641.9428169496,37592.4166768944,6282.7891938839,225.7072516533,125236130000.0,0,0.09660807309360325,0.3995456545,0.0,1379325459,1333310283.0,0,0.3995456545,94517.14868772791,0.009709405
KCB,2024.0,5.0,1742984402050.0,122638506902.0,0.09407304439474548,5637629391.0,-0.08260444322082136,0.13924897785690102,0.0571209437,0.1738792899,0.0473366267,21.7358093527,0.9028319163,704.703673875,4.2789472726,0.3973242427,1.5121474856,-1407.8395596026658,1.224963996779678,0.16498910984821563,0.04596948816006876,0.38518763684678897,83768000000.0,8000000.0,0.6830481071,4.7589945925,11597.950637875,3.7166006556,1.0297401297,6.6763013142,83.78860464115581,61.3756663177,15.8092364356,481.73959525,80000000000.0,0,1.227668253825,0.2249639968,0.0477509311,20177392204,17077286732.0,0,0.2249639968,160.97350739445582,5.9469822798
QCC,2024.0,5.0,1742899768783.0,27319297780.0,-0.52674994479294,847340597.0,-0.46314756283582215,0.03261215003308918,0.0398173339,0.0425977935,0.0287233513,62.9658197004,2.1290982916,564.8937313333333,4.3358943499,1.509870561,3.7278751557,-56.91201892746898,1.2833963782770992,0.03588060499281831,0.031016192430111576,0.14163745383063064,44530500000.0,1500000.0,1.6300016332,8.3804719614,13943.4614726667,28.4748384518,0.926075996,30.6004258396,227.05175179904214,47.0662523572,49.3728745435,471.47802,15000000000.0,0,1.3943461472666667,0.2833963783,0.0168423889,1249561426,890941038.0,0,0.2833963783,323.49087869974215,7.7550257715
TTB,2025.0,5.0,1769446978160.0,194909228016.0,0.38689054182124416,189495045.0,2.366575687983505,0.021242355922009615,0.0001803253,0.0036588162,9.38188e-05,964.2323333573,0.1738598096,1.8667700073203926,1.2579138392,0.0421144122,1.069898673,-1.0382352779287856,1.9539724573574704,0.025058202233317513,0.0009722220283199955,0.12508644339301686,182717249400.0,101509583.0,0.9374479149,1.4288831735,10353.1690493103,36.7934198259,0.0964993461,7.1744905623,1376.1810902655864,181.9663032778,936.1175177265,1.8667700073,1015095830000.0,0.0264694718,1.035316904931035,0.9539724574,0.0,6046846154,4140331194.0,0.1032176494,0.9539724574,2494.2649112698864,2.0058658852
PMJ,2024.0,5.0,1747849036767.0,181014426894.0,0.21842734093815463,2287866917.0,1.609553320961413,0.022144735465462882,0.0583604425,0.0751944502,0.0194816554,16.0030443174,0.7985864231,1271.0371761111112,1.3731893695,0.1253898622,1.3282810484,-6.343740723494643,3.248295568055847,0.10162109107714692,0.012639141289769952,0.1227208776182708,32220000000.0,1800000.0,0.1779968622,17.3730051762,22414.6059616667,4.8486498977,1.5413749221,34.6372467818,159.56272792139237,8.9066053682,122.3783553394,1118.5371761111,18000000000.0,0,2.2414605961666667,2.2482955681,0.0586592179,6972708546,4008516599.0,0.3212782445,2.2482955681,290.8476886289924,40.9808209648
TBD,2025.0,5.0,1770227951883.0,2913988758697.0,0.2959054785967961,220741967153.0,0.5304080300828808,0.09749927640010579,0.3189245606,0.1671976139,0.105378879,16.6301059257,4.9672447203,6794.905607030784,1.364126376,0.0117791294,0.7645241984,-6.3815988343564864,3.0446863882278232,0.36515399412011945,0.07575251156826888,0.15546738057719,3670962296000.0,32486392.0,1.2597722915,-15.5633124857,22749.0301692783,13.9027086419,1.3910941942,9.8429674936,122.89736273744914,116.0653580118,47.9336120556,6794.9056070308,324863920000.0,0.0593051672,2.321099002924055,2.0446863882,0.0,330851330176,284111795411.0,1.3128387992,2.0446863882,286.8963328048491,3.1447798573
DTA,2025.0,3.0,1761576778150.0,31146629207.0,-0.3363358640328471,887874660.0,0.5624291028000998,0.10677226157919503,0.0058617912,0.0326190339,0.001945572,60.9353399007,0.3557644861,49.162952346400566,0.5125343532,0.027186044,0.214437287,-1.363124360287417,2.913372912172805,0.08758974510066167,0.028506284070073818,0.20200606509246136,73142319600.0,18059832.0,0.5562168197,-3.2940572373,11383.9356040521,16.4117444139,0.2131436646,7.136907342,92.88042236058104,399.569410327,114.214378555,66.4638944593,180598320000.0,0.3553765793,1.1383935604052131,1.9133729122,0.0,11587727851,3325596041.0,0.9606810637,1.9133729122,606.6642112425811,0.9134833412
