name,update_date,shares_owned,ownership_percentage,symbol
Nguyễn Văn Viện,2024-03-28T00:00:00,201562,6.69,SIV
Nguyễn Thủy Nguyên,2021-12-31T00:00:00,198750,6.6,SIV
Trần Bình Ân,2024-03-28T00:00:00,198750,6.6,SIV
Trần Thị Lưu Ly,2020-09-03T14:18:58.077,187500,6.22,SIV
Công ty TNHH VICO,2020-09-03T14:19:04.287,187500,6.22,SIV
REVERIE LTD,2024-03-12T00:00:00,163700,5.43,SIV
Đinh Văn Ước,2021-12-31T00:00:00,154125,5.12,SIV
Trần Quang Tuấn,2025-06-30T00:00:00,647383,20.88,PRC
Đỗ Văn Khánh,2024-12-06T00:00:00,197290,16.44,PRC
Vũ Quang Vinh,2025-06-30T00:00:00,406875,13.13,PRC
Nguyễn Tất Long,2025-06-11T00:00:00,210610,6.8,PRC
CTCP FPT,2024-03-27T00:00:00,63400650,46.5,FRT
CTCP Quản lý Quỹ Đầu tư Dragon Capital Việt Nam,2024-03-27T00:00:00,15029200,11.0,FRT
Bùi Minh Lực,2025-10-31T00:00:00,10174500,20.35,VRC
Trần Thị Vân,2025-04-01T00:00:00,8299310,16.6,VRC
Phan Văn Tướng,2024-10-11T00:00:00,7327230,14.65,VRC
CTCP Chứng khoán Sài Gòn - Hà Nội (SHS),2024-12-30T00:00:00,7271024,14.54,VRC
Công ty TNHH Nhà nước MTV Yến sào Khánh Hòa,2022-12-31T00:00:00,16850000,51.06,SKH
Nguyễn Tiến Lãng,2021-12-31T00:00:00,16217932,35.0,PMG
Nguyễn Thị Bích Thùy,2023-08-21T00:00:00,9267542,20.0,PMG
"Lemon Gas Co., Ltd",2023-08-21T00:00:00,9267070,20.0,PMG
