owner_type,ownership_percentage,shares_owned,update_date,symbol
CĐ khác trong nước,15.84,2372986,2024-12-31T00:00:00,SC5
CĐ khác nước ngoài,2.27,340243,2024-12-31T00:00:00,SC5
CĐ cá nhân,19.0,949830,2024-12-31T00:00:00,S12
CĐ tổ chức,81.0,4050170,2024-12-31T00:00:00,S12
CĐ Nhà nước,41.47,9790000,2024-12-31T00:00:00,HTE
Cổ  phiếu quỹ,4.11,970000,2024-12-31T00:00:00,HTE
Cá nhân trong nước,44.3,10458365,2024-12-31T00:00:00,HTE
Tổ chức trong nước,10.1,2385000,2024-12-31T00:00:00,HTE
Cá nhân nước ngoài,0.02,4800,2024-12-31T00:00:00,HTE
Cổ  phiếu quỹ,0.12,10500,2024-12-31T00:00:00,BIO
CĐ khác,14.88,1274300,2024-12-31T00:00:00,BIO
CĐ lớn trong nước,84.99,7277200,2024-12-31T00:00:00,BIO
Cá nhân trong nước,34.39,21299903,2024-12-31T00:00:00,TD6
Tổ chức trong nước,65.34,40467754,2024-12-31T00:00:00,TD6
Cá nhân nước ngoài,0.21,131727,2024-12-31T00:00:00,TD6
Tổ chức nước ngoài,0.06,35818,2024-12-31T00:00:00,TD6
Cá nhân trong nước,86.89,15188150,2023-12-31T00:00:00,ATG
Tổ chức trong nước,0.15,23020,2023-12-31T00:00:00,ATG
Cá nhân nước ngoài,0.05,8720,2023-12-31T00:00:00,ATG
Tổ chức nước ngoài,0.0,110,2023-12-31T00:00:00,ATG
CĐ pháp nhân,45.7,880060,2024-12-31T00:00:00,DAE
CĐ thể nhân,54.3,1045598,2024-12-31T00:00:00,DAE
CĐ khác,76.0,62540459,2024-12-31T00:00:00,ELC
CĐ khác trong nước,20.0,16458015,2024-12-31T00:00:00,ELC
CĐ khác nước ngoài,4.0,3291603,2024-12-31T00:00:00,ELC
Cá nhân trong nước,36.6,1112196,2024-12-31T00:00:00,SDN
Tổ chức trong nước,40.8,1241610,2024-12-31T00:00:00,SDN
Cá nhân nước ngoài,18.6,567706,2024-12-31T00:00:00,SDN
Tổ chức nước ngoài,3.7,114924,2024-12-31T00:00:00,SDN
CĐ cá nhân,76.01,16604205,2019-12-31T00:00:00,PVA
CĐ tổ chức,23.99,5241795,2019-12-31T00:00:00,PVA
CĐ Nhà nước,40.0,1200000,2024-12-31T00:00:00,SFN
Cá nhân trong nước,54.54,1636110,2024-12-31T00:00:00,SFN
Tổ chức trong nước,4.62,138550,2024-12-31T00:00:00,SFN
Cá nhân nước ngoài,0.68,20440,2024-12-31T00:00:00,SFN
Tổ chức nước ngoài,0.16,4900,2024-12-31T00:00:00,SFN
CĐ Nhà nước,52.06,4940555,2024-12-31T00:00:00,NNT
