id,officer_name,officer_position,position_short_name,update_date,officer_own_percent,quantity,symbol
8,Nguyễn Văn Đức,Tổng Giám đốc/Thành viên Hội đồng Quản trị,TGĐ/TV HĐQT,2025-08-04,0.0337,2977157,VPG
9,Nguyễn Thị Mai Hoa,Kế toán trưởng,Kế toán trưởng,2025-09-05,3.19e-05,2961,VPG
3,Phạm Thị Thu Trang,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,2021-01-28,0.0,0,VPG
6,Nguyễn Khôi,Thành viên Hội đồng Quản trị độc lập/Trưởng Ban Kiểm toán nội bộ ,Thành viên HĐQT độc lập/Trưởng BKT nội bộ ,2025-08-04,0.0,0,VPG
7,Hoàng Trung Kiên,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2025-08-04,0.0,0,VPG
2,Trần Thị Vân,Thành viên Ban Kiểm toán nội bộ,Thành viên BKT nội bộ,2018-04-18,0.0,0,VPG
1,Nguyễn Quang Khải,Thành viên Hội đồng Quản trị độc lập/Thành viên Ban Kiểm toán nội bộ,Thành viên HĐQT độc lập/Thành viên BKT nội bộ,2018-04-18,0.0,0,VPG
1,Vũ Đức Thắng,Thành viên Hội đồng Quản trị,TV HĐQT,2018-09-28,0.002051,11900,MBN
3,NGÔ MINH CHÂU,Chủ tịch Hội đồng Quản trị,Chủ tịch HĐQT,2024-03-21,0.0015,8600,MBN
8,Đặng Thị Thủy,Kế toán trưởng,Kế toán trưởng,2025-02-19,0.0012,6700,MBN
2,Nguyễn Văn Cảnh,Trưởng Ban kiểm soát,Trưởng BKS,2018-09-28,0.001068,6200,MBN
5,NGUYỄN ĐÌNH THU,Phó Giám đốc/Thành viên Hội đồng Quản trị,Phó GĐ/TV HĐQT,2025-02-19,0.001,6000,MBN
6,Nguyễn Thế Công,Giám đốc,GĐ,2025-02-19,0.0008,4400,MBN
4,Nguyễn Thế Tuân,Người phụ trách quản trị công ty,Người phụ trách quản trị công ty,2024-05-13,0.0006,3200,MBN
9,Phạm Nhật Quang,Phó Giám đốc,Phó GĐ,2025-02-19,0.0003,1500,MBN
10,NGHIÊM THỊ OANH,Thành viên Ban kiểm soát,TV BKS,2025-02-19,0.0001,600,MBN
