time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-03-31,18.9,18.9,18.9,18.9,1065,19.58,19.725714285714286,19.725714285714286,42.61993912311417,-0.08183878260264521,-0.04239161273512481,-0.0394471698675204,20.24995679357936,18.910043206420635,-3.571428571428581,2.73298060645553,DNP
2025-04-01,19.0,19.0,19.0,19.0,101,19.564999999999998,19.705555555555556,19.705555555555556,43.76919332000512,-0.11863830155999722,-0.05764095050009929,-0.060997351059897925,20.27366813553014,18.856331864469855,0.5291005291005346,2.656162218132863,DNP
2025-04-02,19.2,19.2,19.2,19.2,101,19.54,19.691891891891892,19.691891891891892,46.09461606690835,-0.13016341411563914,-0.07214544322320726,-0.05801797089243188,20.263733012708546,18.816266987291453,1.0526315789473717,2.622956875962096,DNP
2025-04-03,18.2,18.2,18.1,18.1,8000,19.475,19.650000000000002,19.650000000000002,37.025316370642365,-0.22545900470350233,-0.10280815551926628,-0.12265084918423605,20.44372134932165,18.506278650678354,-5.729166666666652,2.897663497748775,DNP
2025-04-04,19.3,19.3,19.3,19.3,102,19.445,19.641025641025642,19.641025641025642,48.84895850800067,-0.20182496308768805,-0.12261151703295065,-0.0792134460547374,20.39529081421369,18.49470918578631,6.629834254143652,3.2322711146323426,DNP
2025-04-08,19.3,19.3,19.3,19.3,1,19.425,19.6325,19.6325,48.84895850800067,-0.18100826423669147,-0.1342908664736988,-0.04671739776299266,20.36951324138832,18.480486758611683,0.0,3.225320999427232,DNP
2025-04-09,19.3,19.3,19.3,19.3,0,19.405,19.62439024390244,19.62439024390244,48.84895850800067,-0.16263611255301313,-0.13995991568956168,-0.02267619686345146,20.341904196641355,18.468095803358647,0.0,3.225320999427232,DNP
2025-04-10,19.7,19.7,19.7,19.7,201,19.43,19.626190476190477,19.626190476190477,52.55736141221452,-0.11447974171761643,-0.13486388089517262,0.020384139177556188,20.37054855214781,18.48945144785219,2.072538860103612,3.203058096757544,DNP
2025-04-11,18.0,19.0,18.0,19.0,5400,19.41,19.611627906976743,19.611627906976743,46.239523063563944,-0.1312862347472361,-0.13414835166558534,0.002862116918349228,20.370043858647243,18.449956141352757,-3.5532994923857864,3.301095085743283,DNP
2025-04-14,19.0,19.0,18.1,18.6,1200,19.32,19.588636363636365,19.588636363636365,43.05458495350616,-0.1748664075226074,-0.14229196283698975,-0.032574444685617654,20.225189715503106,18.414810284496895,-2.1052631578947323,3.0908481774175343,DNP
2025-04-15,19.0,19.3,18.6,18.6,1500,19.29,19.566666666666666,19.566666666666666,43.05458495350616,-0.2070176379588915,-0.1552370978613701,-0.051780540097521394,20.250043858647235,18.329956141352763,0.0,2.810393678685707,DNP
2025-04-16,18.1,18.1,18.1,18.1,1701,19.2,19.534782608695654,19.534782608695654,39.14571467778528,-0.2697342129393583,-0.17813652087696774,-0.09159769206239055,20.252315742091024,18.147684257908974,-2.6881720430107503,2.7189413637347655,DNP
2025-04-17,18.5,18.5,17.1,18.5,1600,19.145000000000003,19.51276595744681,19.51276595744681,43.560312281218074,-0.2838884045857135,-0.19928689761871693,-0.08460150696699659,20.223937098795776,18.06606290120423,2.20994475138121,2.7685879603644756,DNP
2025-04-18,19.3,19.3,19.3,19.3,100,19.130000000000003,19.508333333333333,19.508333333333333,51.18721523911812,-0.22792501166378898,-0.20501452042773136,-0.022910491236057623,20.19048648220867,18.069513517791336,4.324324324324325,2.9520855132241794,DNP
2025-04-21,19.0,19.0,19.0,19.0,100,19.115,19.49795918367347,19.49795918367347,48.53832273373923,-0.20541323644959064,-0.2050942636321032,-0.00031897281748743955,20.173847436950567,18.05615256304943,-1.5544041450777257,2.95272427893361,DNP
2025-04-22,19.0,19.0,19.0,19.0,100,19.080000000000002,19.488,19.488,48.538322733739236,-0.18543491414274627,-0.2011623937342318,0.015727479591485544,20.103101579563443,18.05689842043656,0.0,2.9108625436972635,DNP
2025-04-23,19.0,19.0,19.0,19.0,0,19.044999999999998,19.476,19.478431372549018,48.538322733739236,-0.16766916402606924,-0.1944637477925993,0.026794583766530072,20.025815986819108,18.06418401318089,0.0,2.9108625436972635,DNP
2025-04-24,19.0,19.0,19.0,19.0,0,19.025,19.456,19.46923076923077,48.53832273373923,-0.15183936933037145,-0.18593887210015375,0.0340995027697823,19.99154566695823,18.058454333041766,0.0,2.892665238475824,DNP
2025-04-25,19.0,19.0,19.0,19.0,0,18.975,19.444,19.460377358490568,48.538322733739236,-0.13770674534564264,-0.17629244674925154,0.038585701403608896,19.825696309223368,18.124303690776635,0.0,2.7960499285370957,DNP
2025-04-28,19.0,19.0,19.0,19.0,3000,18.945,19.432000000000002,19.451851851851853,48.538322733739236,-0.12506486905737546,-0.16604693121087635,0.04098206215350089,19.743617226012656,18.146382773987344,0.0,2.764594581587025,DNP
2025-04-29,18.4,18.4,18.4,18.4,1000,18.92,19.404,19.432727272727274,41.791104241018445,-0.16159827231804869,-0.16515719943231083,0.003558927114262145,19.755022848726114,18.08497715127389,-3.157894736842115,2.7388423161087077,DNP
2025-05-05,18.6,18.6,18.6,18.6,200,18.9,19.358,19.417857142857144,44.55769374609403,-0.1724253173534116,-0.16661082301653102,-0.005814494336880582,19.746043423048807,18.05395657695119,1.0869565217391353,2.748394194158528,DNP
2025-05-06,18.6,18.6,18.6,18.6,0,18.869999999999997,19.34,19.403508771929825,44.55769374609403,-0.1789430840637003,-0.16907727522596488,-0.009865808837735413,19.71380092438912,18.026199075610876,0.0,2.735802383639606,DNP
2025-05-07,17.3,18.5,17.3,18.4,1400,18.885,19.316,19.386206896551727,42.2298985412172,-0.19796477497274623,-0.17485477517532116,-0.023109999797425063,19.68044757344856,18.089552426551442,-1.0752688172043112,2.4127358724669947,DNP
2025-05-08,18.4,18.4,18.4,18.4,0,18.84,19.281999999999996,19.36949152542373,42.2298985412172,-0.2106118003291506,-0.18200618020608705,-0.028605620123063558,19.638419491376844,18.041580508623156,0.0,1.8624209377667273,DNP
2025-05-09,18.7,18.7,18.7,18.7,105,18.81,19.254,19.358333333333334,47.04280747323507,-0.19418868002058787,-0.18444268016898724,-0.009745999851600629,19.58023578071566,18.039764219284336,1.6304347826086918,1.907782202216398,DNP
2025-05-12,18.5,19.3,18.3,19.3,12100,18.81,19.238,19.35737704918033,55.099713609008965,-0.13124533869597954,-0.17380321187438572,0.042557873178406175,19.58023578071566,18.039764219284336,3.208556149732633,2.049836373489399,DNP
2025-05-13,19.2,21.2,19.2,21.2,27600,18.884999999999998,19.264,19.387096774193548,70.4377059642708,0.07113186990530806,-0.12481619551844697,0.19594806542375504,20.152031341779896,17.6179686582201,9.844559585492219,2.983505500034187,DNP
2025-05-14,19.5,19.5,19.5,19.5,708,18.91,19.252,19.38888888888889,52.99438215546814,0.09326635675924777,-0.08119968506290803,0.1744660418221558,20.205985704924387,17.614014295075613,-8.018867924528294,3.4293824647144597,DNP
2025-05-15,18.1,20.9,18.1,20.9,400,19.025,19.27,19.4125,61.45905530106465,0.22122623840538935,-0.02071450036924856,0.2419407387746379,20.586207360043044,17.463792639956953,7.179487179487176,3.719191192399281,DNP
