time,open,high,low,close,volume,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d,symbol
2025-04-01,6.93,7.0,6.85,6.95,660000,7.041499999999999,7.140000000000001,7.140000000000001,36.693279112384715,-0.08335893228310898,-0.0768695853113037,-0.006489346971805282,7.263384275195306,6.8196157248046925,0.8708272859216271,0.6149651905685394,APH
2025-04-02,6.91,7.0,6.91,6.97,150900,7.0329999999999995,7.135405405405405,7.135405405405405,39.599225045769074,-0.07739156124326119,-0.07697398049769519,-0.00041758074556599856,7.252002523417327,6.813997476582672,0.2877697841726645,0.6215780396999396,APH
2025-04-03,6.86,6.99,6.49,6.49,1804600,6.9985,7.118421052631579,7.118421052631579,18.111553902973455,-0.11012491371924149,-0.08360416714200446,-0.026520746577237034,7.315477502107175,6.681522497892825,-6.886657101865135,1.6208194180451474,APH
2025-04-04,6.04,6.34,6.04,6.3,903100,6.954499999999999,7.097435897435898,7.097435897435898,14.709140979755844,-0.1496724130811149,-0.09681781632982656,-0.05285459675128834,7.388209822953449,6.520790177046548,-2.927580893682591,1.7042020196746317,APH
2025-04-08,6.26,6.26,5.9,5.91,2142300,6.893000000000001,7.067749999999999,7.067749999999999,10.393194498203954,-0.21006236371413767,-0.1194667258066888,-0.09059563790744887,7.5211836808148576,6.264816319185144,-6.190476190476191,2.1079585389414923,APH
2025-04-09,5.89,6.0,5.71,5.91,1135100,6.8260000000000005,7.039512195121952,7.039512195121952,10.393194498203954,-0.2549825545096489,-0.1465698915472808,-0.1084126629623681,7.569176680842022,6.082823319157979,0.0,2.040414603554019,APH
2025-04-10,6.32,6.32,6.32,6.32,79400,6.7829999999999995,7.022380952380952,7.022380952380952,34.00336603503506,-0.254564099383515,-0.16816873311452765,-0.08639536626898733,7.539337435136902,6.026662564863097,6.937394247038919,2.7039704020965294,APH
2025-04-11,6.7,6.7,6.35,6.59,573100,6.7575,7.0123255813953485,7.0123255813953485,44.39404732467195,-0.2297967730096664,-0.18049434109355542,-0.04930243191611097,7.5031505460616925,6.011849453938308,4.272151898734178,2.9105050408873767,APH
2025-04-14,6.75,6.79,6.62,6.7,373800,6.7379999999999995,7.005227272727273,7.005227272727273,47.98697097637123,-0.19899847715540098,-0.18419516830592453,-0.014803308849476449,7.467256290231424,6.008743709768575,1.6691957511380862,2.944687726292994,APH
2025-04-15,6.68,6.77,6.68,6.76,469400,6.7219999999999995,6.999777777777778,6.999777777777778,49.88894042825076,-0.16781464448148586,-0.1809190635410368,0.013104419059550926,7.433487692684911,6.010512307315088,0.8955223880596996,2.9556420974849362,APH
2025-04-16,6.77,6.85,6.7,6.75,516300,6.707000000000001,6.9943478260869565,6.9943478260869565,49.56363748244281,-0.1422681699423043,-0.1731888848212903,0.03092071487898601,7.401825991090382,6.01217400890962,-0.14792899408283544,2.9551336890370803,APH
2025-04-17,6.28,6.75,6.28,6.74,816000,6.6935,6.988936170212766,6.988936170212766,49.2180225009605,-0.12142955689944301,-0.16283701923692087,0.04140746233747786,7.373879924825282,6.013120075174719,-0.1481481481481417,2.953693641142137,APH
2025-04-18,6.65,6.84,6.65,6.79,201600,6.6850000000000005,6.984791666666666,6.984791666666666,51.05576892211438,-0.0997305916162965,-0.150215733712796,0.05048514209649951,7.355537883069683,6.014462116930318,0.7418397626112627,2.9571237989070367,APH
2025-04-21,6.84,6.9,6.73,6.8,232900,6.677,6.981020408163265,6.981020408163265,51.43431623147596,-0.0807957260341583,-0.13633173217706845,0.055536006142910155,7.337465545537462,6.016534454462537,0.14727540500736325,2.957521314796608,APH
2025-04-22,6.7,6.78,6.51,6.68,631600,6.662999999999999,6.975,6.975,46.76057732319267,-0.07461261794519913,-0.12398790933069459,0.04937529138549546,7.309939352888493,6.016060647111506,-1.764705882352946,2.981414420693717,APH
