last_updated,name,value,unit,source
2025-02-18,Tỷ giá trung tâm (từ 04/01/2016),24633.0,USD/VNĐ,
2025-02-18,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-18,Tỷ giá trung tâm (từ 04/01/2016),24790.0,USD/VNĐ,
2025-03-18,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-19,Tỷ giá trung tâm (từ 04/01/2016),24341.0,USD/VNĐ,
2025-01-19,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-19,Tỷ giá trung tâm (từ 04/01/2016),24643.0,USD/VNĐ,
2025-02-19,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-19,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-19,Tỷ giá trung tâm (từ 04/01/2016),24807.0,USD/VNĐ,
2025-01-20,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-20,Tỷ giá trung tâm (từ 04/01/2016),24336.0,USD/VNĐ,
2025-02-20,Tỷ giá trung tâm (từ 04/01/2016),24638.0,USD/VNĐ,
2025-02-20,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-20,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-20,Tỷ giá trung tâm (từ 04/01/2016),24813.0,USD/VNĐ,
2025-01-21,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-21,Tỷ giá trung tâm (từ 04/01/2016),24332.0,USD/VNĐ,
2025-02-21,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-21,Tỷ giá trung tâm (từ 04/01/2016),24638.0,USD/VNĐ,
2025-03-21,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-21,Tỷ giá trung tâm (từ 04/01/2016),24813.0,USD/VNĐ,
2025-01-22,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-22,Tỷ giá trung tâm (từ 04/01/2016),24328.0,USD/VNĐ,
2025-01-23,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-01-23,Tỷ giá trung tâm (từ 04/01/2016),24325.0,USD/VNĐ,
2025-02-23,Tỷ giá trung tâm (từ 04/01/2016),24646.0,USD/VNĐ,
2025-02-23,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-23,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-23,Tỷ giá trung tâm (từ 04/01/2016),24831.0,USD/VNĐ,
2025-01-24,Tỷ giá trung tâm (từ 04/01/2016),24325.0,USD/VNĐ,
2025-01-24,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-24,Tỷ giá trung tâm (từ 04/01/2016),24646.0,USD/VNĐ,
2025-02-24,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-24,Tỷ giá trung tâm (từ 04/01/2016),24847.0,USD/VNĐ,
2025-03-24,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-25,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-25,Tỷ giá trung tâm (từ 04/01/2016),24668.0,USD/VNĐ,
2025-03-25,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-25,Tỷ giá trung tâm (từ 04/01/2016),24851.0,USD/VNĐ,
2025-02-26,Tỷ giá trung tâm (từ 04/01/2016),24696.0,USD/VNĐ,
2025-02-26,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-26,Tỷ giá trung tâm (từ 04/01/2016),24846.0,USD/VNĐ,
2025-03-26,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-02-27,Tỷ giá trung tâm (từ 04/01/2016),24726.0,USD/VNĐ,
2025-02-27,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-27,Tỷ giá trung tâm (từ 04/01/2016),24843.0,USD/VNĐ,
2025-03-27,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-28,Tỷ giá trung tâm (từ 04/01/2016),24843.0,USD/VNĐ,
2025-03-28,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
2025-03-30,Tỷ giá trung tâm (từ 04/01/2016),24837.0,USD/VNĐ,
2025-03-30,Liên ngân hàng,,USD/VNĐ,Ngân hàng Nhà nước Việt Nam
