last_updated,group_name,name,value,unit,source
2018-02-28,Tổng FDI,Đăng ký,2.09,Tỷ USD,Cục Đầu tư nước ngoài
2018-02-28,Tổng FDI,Giải ngân,0.65,Tỷ USD,Cục Đầu tư nước ngoài
2018-04-02,Tổng FDI,Đăng ký,2.46,Tỷ USD,Cục Đầu tư nước ngoài
2018-04-02,Tổng FDI,Giải ngân,2.18,Tỷ USD,Cục Đầu tư nước ngoài
2018-05-31,Tổng FDI,Giải ngân,1.22,Tỷ USD,Cục Đầu tư nước ngoài
2018-05-31,Tổng FDI,Đăng ký,2.26,Tỷ USD,Cục Đầu tư nước ngoài
2018-05-31,Tổng FDI,Đăng ký,1.84,Tỷ USD,Cục Đầu tư nước ngoài
2018-05-31,Tổng FDI,Giải ngân,1.65,Tỷ USD,Cục Đầu tư nước ngoài
2018-07-11,Tổng FDI,Đăng ký,10.43,Tỷ USD,Cục Đầu tư nước ngoài
2018-07-11,Tổng FDI,Giải ngân,1.62,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Đăng ký,2.61,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Giải ngân,1.48,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Đăng ký,1.41,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Giải ngân,1.4,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Đăng ký,1.02,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Giải ngân,2.0,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Đăng ký,2.53,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-25,Tổng FDI,Giải ngân,1.85,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-28,Tổng FDI,Giải ngân,1.4,Tỷ USD,Cục Đầu tư nước ngoài
2018-11-28,Tổng FDI,Đăng ký,2.9,Tỷ USD,Cục Đầu tư nước ngoài
2018-12-25,Tổng FDI,Đăng ký,4.66,Tỷ USD,Cục Đầu tư nước ngoài
2018-12-25,Tổng FDI,Giải ngân,2.6,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-29,Tổng FDI,Đăng ký,1.9,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-29,Tổng FDI,Giải ngân,1.55,Tỷ USD,Cục Đầu tư nước ngoài
2019-03-03,Tổng FDI,Đăng ký,6.57,Tỷ USD,Cục Đầu tư nước ngoài
2019-03-03,Tổng FDI,Giải ngân,1.03,Tỷ USD,Cục Đầu tư nước ngoài
2019-04-01,Tổng FDI,Đăng ký,2.33,Tỷ USD,Cục Đầu tư nước ngoài
2019-04-01,Tổng FDI,Giải ngân,1.54,Tỷ USD,Cục Đầu tư nước ngoài
2019-05-08,Tổng FDI,Đăng ký,3.79,Tỷ USD,Cục Đầu tư nước ngoài
2019-05-08,Tổng FDI,Giải ngân,1.58,Tỷ USD,Cục Đầu tư nước ngoài
2019-05-28,Tổng FDI,Đăng ký,2.15,Tỷ USD,Cục Đầu tư nước ngoài
2019-05-28,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2019-06-27,Tổng FDI,Đăng ký,1.73,Tỷ USD,Cục Đầu tư nước ngoài
2019-06-27,Tổng FDI,Giải ngân,1.8,Tỷ USD,Cục Đầu tư nước ngoài
2019-08-04,Tổng FDI,Giải ngân,1.45,Tỷ USD,Cục Đầu tư nước ngoài
2019-08-04,Tổng FDI,Đăng ký,1.75,Tỷ USD,Cục Đầu tư nước ngoài
2019-09-02,Tổng FDI,Đăng ký,2.41,Tỷ USD,Cục Đầu tư nước ngoài
2019-09-02,Tổng FDI,Giải ngân,1.41,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-02,Tổng FDI,Đăng ký,3.53,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-02,Tổng FDI,Giải ngân,2.26,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-29,Tổng FDI,Đăng ký,2.95,Tỷ USD,Cục Đầu tư nước ngoài
2019-10-29,Tổng FDI,Giải ngân,1.99,Tỷ USD,Cục Đầu tư nước ngoài
2019-11-29,Tổng FDI,Đăng ký,2.69,Tỷ USD,Cục Đầu tư nước ngoài
2019-11-29,Tổng FDI,Giải ngân,1.48,Tỷ USD,Cục Đầu tư nước ngoài
2020-01-08,Tổng FDI,Đăng ký,6.22,Tỷ USD,Cục Đầu tư nước ngoài
2020-01-08,Tổng FDI,Giải ngân,2.69,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Đăng ký,5.33,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Giải ngân,1.6,Tỷ USD,Cục Đầu tư nước ngoài
2020-02-28,Tổng FDI,Đăng ký,1.14,Tỷ USD,Cục Đầu tư nước ngoài
2020-02-28,Tổng FDI,Giải ngân,0.85,Tỷ USD,Cục Đầu tư nước ngoài
2020-04-08,Tổng FDI,Giải ngân,1.4,Tỷ USD,Cục Đầu tư nước ngoài
2020-04-08,Tổng FDI,Đăng ký,2.08,Tỷ USD,Cục Đầu tư nước ngoài
2020-05-29,Tổng FDI,Giải ngân,1.3,Tỷ USD,Cục Đầu tư nước ngoài
2020-05-29,Tổng FDI,Đăng ký,3.78,Tỷ USD,Cục Đầu tư nước ngoài
2020-05-29,Tổng FDI,Giải ngân,1.55,Tỷ USD,Cục Đầu tư nước ngoài
2020-05-29,Tổng FDI,Đăng ký,1.56,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Đăng ký,1.78,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Giải ngân,1.74,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Đăng ký,3.15,Tỷ USD,Cục Đầu tư nước ngoài
2020-07-28,Tổng FDI,Giải ngân,1.68,Tỷ USD,Cục Đầu tư nước ngoài
2020-09-09,Tổng FDI,Đăng ký,0.72,Tỷ USD,Cục Đầu tư nước ngoài
2020-09-09,Tổng FDI,Giải ngân,1.33,Tỷ USD,Cục Đầu tư nước ngoài
2020-10-06,Tổng FDI,Đăng ký,1.66,Tỷ USD,Cục Đầu tư nước ngoài
2020-10-06,Tổng FDI,Giải ngân,2.31,Tỷ USD,Cục Đầu tư nước ngoài
2020-12-06,Tổng FDI,Đăng ký,2.28,Tỷ USD,Cục Đầu tư nước ngoài
2020-12-06,Tổng FDI,Giải ngân,2.04,Tỷ USD,Cục Đầu tư nước ngoài
2020-12-06,Tổng FDI,Giải ngân,1.4,Tỷ USD,Cục Đầu tư nước ngoài
2020-12-06,Tổng FDI,Đăng ký,2.95,Tỷ USD,Cục Đầu tư nước ngoài
2021-01-11,Tổng FDI,Đăng ký,2.1,Tỷ USD,Cục Đầu tư nước ngoài
2021-01-11,Tổng FDI,Giải ngân,2.78,Tỷ USD,Cục Đầu tư nước ngoài
2021-01-28,Tổng FDI,Đăng ký,2.02,Tỷ USD,Cục Đầu tư nước ngoài
