last_updated,group_name,name,value,unit,source,report_type
2016-07-06,Giá trị GDP (2010),Công nghiệp,443489.0,Tỷ VNĐ,,6 tháng
2016-07-06,Giá trị GDP (2010),Dịch vụ,488307.0,Tỷ VNĐ,,6 tháng
2016-07-06,Giá trị GDP (2010),GDP thực,1292968.0,Tỷ VNĐ,,6 tháng
2016-07-06,Giá trị GDP (2010),Nông nghiệp,209281.0,Tỷ VNĐ,,6 tháng
2016-07-06,Giá trị GDP hiện hành,Công nghiệp,619254.0,Tỷ VNĐ,Tổng cục thống kê,6 tháng
2016-07-06,Giá trị GDP hiện hành,Dịch vụ,770847.0,Tỷ VNĐ,Tổng cục thống kê,6 tháng
2016-07-06,Giá trị GDP hiện hành,GDP danh nghĩa,1879873.0,Tỷ VNĐ,Tổng cục thống kê,6 tháng
2016-07-06,Giá trị GDP hiện hành,Nông nghiệp,295890.0,Tỷ VNĐ,Tổng cục thống kê,6 tháng
2016-07-06,Tăng trưởng thực của GDP,Công nghiệp,7.12,%,Tổng cục thống kê,6 tháng
2016-07-06,Tăng trưởng thực của GDP,Dịch vụ,6.35,%,Tổng cục thống kê,6 tháng
2016-07-06,Tăng trưởng thực của GDP,Nông nghiệp,-0.18,%,Tổng cục thống kê,6 tháng
2016-07-06,Tăng trưởng thực của GDP,Tổng GDP,5.52,%,Tổng cục thống kê,6 tháng
2017-01-03,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,32.48,%,Tổng cục thống kê,9 tháng
2017-01-03,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,41.8,%,Tổng cục thống kê,9 tháng
2017-01-03,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,15.54,%,Tổng cục thống kê,9 tháng
2017-01-03,Giá trị GDP (2010),Công nghiệp,706724.0,Tỷ VNĐ,,9 tháng
2017-01-03,Giá trị GDP (2010),Dịch vụ,799056.0,Tỷ VNĐ,,9 tháng
2017-01-03,Giá trị GDP (2010),GDP thực,2070880.0,Tỷ VNĐ,,9 tháng
2017-01-03,Giá trị GDP (2010),Nông nghiệp,324118.0,Tỷ VNĐ,,9 tháng
2017-01-03,Giá trị GDP hiện hành,Công nghiệp,986748.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2017-01-03,Giá trị GDP hiện hành,Dịch vụ,1269694.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2017-01-03,Giá trị GDP hiện hành,GDP danh nghĩa,3037828.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2017-01-03,Giá trị GDP hiện hành,Nông nghiệp,471971.0,Tỷ VNĐ,Tổng cục thống kê,9 tháng
2017-01-03,Tăng trưởng thực của GDP,Công nghiệp,7.5,%,Tổng cục thống kê,9 tháng
2017-01-03,Tăng trưởng thực của GDP,Dịch vụ,6.66,%,Tổng cục thống kê,9 tháng
2017-01-03,Tăng trưởng thực của GDP,Nông nghiệp,0.65,%,Tổng cục thống kê,9 tháng
2017-01-03,Tăng trưởng thực của GDP,Tổng GDP,5.93,%,Tổng cục thống kê,9 tháng
2017-12-10,Cơ cấu GDP  theo giá hiện tại,Công nghiệp,34.06,%,Tổng cục thống kê,Quý 1
2017-12-10,Cơ cấu GDP  theo giá hiện tại,Dịch vụ,43.99,%,Tổng cục thống kê,Quý 1
2017-12-10,Cơ cấu GDP  theo giá hiện tại,Nông nghiệp,7.77,%,Tổng cục thống kê,Quý 1
