time,open,high,low,close,volume,SMA_20,SMA_50,EMA_12,EMA_26,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,ADX_14,DMP_14,DMN_14
2025-09-11,37.13,37.84,35.35,37.71,85957224,34.783,,36.24803303559264,,67.69915582163968,,,,30.205803915058915,34.783,39.36019608494109,26.31858140437044,0.8197372305754816,80.26129532529366,73.20780374450021,,29.482505518041776,20.163738948193973
2025-09-12,38.06,38.11,36.91,37.22,34583133,35.0115,,36.39756641473224,,64.04576161046573,,,,30.42677198189467,35.0115,39.59622801810532,26.18984058440984,0.7408539820986679,79.16516208228512,77.49065499739208,,29.076133119611587,18.990236551880052
2025-09-15,37.4,37.89,36.82,37.49,40547816,35.25150000000001,,36.56563312015805,34.58,65.16140720578808,1.9856331201580488,,,30.675469952021736,35.25150000000001,39.82753004797828,25.96218627847479,0.7445897400727278,77.21384937669247,78.88010226142374,,27.53719945574679,18.430312974632713
2025-09-16,38.2,38.2,36.95,36.95,37945795,35.4755,,36.62476648628758,34.75555555555555,61.079295721631226,1.8692109307320237,,,31.02926799975529,35.4755,39.9217320002447,25.066493778775246,0.6658145593750905,73.00804915774842,76.46235353890866,,27.36631441975325,17.279697264319722
2025-09-17,36.78,37.0,35.98,36.07,37954288,35.689,,36.53941779608949,34.85292181069959,55.02921310729837,1.6864959853898966,,,31.571297242393516,35.689,39.80670275760648,23.075472877393494,0.5462636599128233,57.17124939194281,69.13104930879456,33.12598894265475,25.943025545025215,21.326934997918837
2025-09-18,36.29,36.78,35.8,36.24,26374752,35.8685,,36.49335351976803,34.95566834324036,55.93722197825729,1.537685176527667,,,31.99032891042697,35.8685,39.74667108957303,21.62438401144753,0.5478962881496937,41.94858607910395,57.37596154293173,30.399807780781103,24.6182436182492,21.1758034822577
2025-09-19,36.42,36.64,35.84,35.84,27884110,36.057,,36.39283759364987,35.021174391889225,53.214607073669306,1.3716632017606472,,,32.591091172578246,36.057,39.52290882742176,19.224610075279454,0.46869507958733264,26.45011600928086,41.85665049344254,28.04627795233915,23.56055487948338,20.26601441587203
2025-09-22,35.98,36.2,34.82,34.91,43582719,36.157,,36.164708733088354,35.01293925174929,47.433890093686,1.1517694813390662,,,32.954668974012826,36.157,39.35933102598717,17.713477478702167,0.3052980797611965,18.283021176099865,28.893907754828223,25.771873210375606,21.81910295462086,24.231274253839874
2025-09-23,35.0,35.62,35.0,35.0,21449532,36.319,,35.98552277415168,35.01198078865675,48.0223431050277,0.9735419854949328,,,33.759516458345544,36.319,38.87848354165446,14.094460429276456,0.24233082992450172,9.605444038740279,18.112860408040333,23.780603238904547,20.960691456669228,23.277962631782085
2025-09-24,35.09,35.75,34.24,35.75,36400576,36.478500000000004,,35.949288501205274,35.06664887838588,52.76749746665465,0.8826396228193971,,,34.55810134347057,36.478500000000004,38.39889865652944,10.528934339566788,0.31032584106350175,14.091136227448658,13.993200480762935,22.86043430845742,19.228092241227642,25.514162206855996
