period,Doanh thu kế hoạch,Lợi nhuận trước thuế kế hoạch,Lợi nhuận sau thuế kế hoạch,Tỷ lệ cổ tức bằng tiền (% VĐL) kế hoạch,Tỷ lệ cổ tức (%) kế hoạch,symbol,Doanh thu thuần kế hoạch,Tỷ lệ cổ tức bằng cổ phiếu (%VĐL) kế hoạch
2023,20000000000000,,400000000000,,,DGW,,
2022,26300000000000,,800000000000,,,DGW,,
2021,15200000000000,,300000000000,,,DGW,,
2020,10200000000000,,202000000000,,,DGW,,
2019,7150000000000,137000000000,,,,DGW,,
2025,1000000000000,,100000000000,,,NDC,,
2024,850000000000,,95000000000,,20,NDC,,
2023,950000000000,,100000000000,,20,NDC,,
2021,550000000000,,65000000000,20,,NDC,,
2019,450000000000,,40000000000,,20,NDC,450000000000,
2025,380660000000,3980000000,3184000000,,,L12,,
2024,350680000000,4015048000,4015048000,,,L12,,
2023,302250000000,2984250000,2984250000,,,L12,,
2022,370938861518,5051903722,4041522977,500,,L12,,
2021,386543872760,6427730166,5142184133,,,L12,,
2020,300511000000,4787840000,3830272000,,6,L12,,
2019,300543609091,6560663164,5248530531,,8,L12,,
2025,250000000000,20271000000,,,20,GND,,
2024,250010000000,26050000000,,,20,GND,,
2023,325501000000,32560000000,,20,,GND,,
2022,325087000000,32533000000,,,20,GND,,
2021,325000000000,30000000000,,,20,GND,,
2020,370880000000,26583000000,,,18,GND,,
2019,362222000000,24500000000,,,18,GND,,
2025,223378100000,27955346729,,,,VNI,,
2024,679800000000,38709000000,,,,VNI,,
2023,497766000000,117914000000,,,,VNI,,
2021,5600000000,3250000000,2600000000,,,VNI,,
2020,11200000000,,2100000000,,,VNI,,
2019,50000000000,,,,,VNI,,
2025,116523000000,,10840000000,,5,UDJ,,
2024,93572000000,,12961000000,,6,UDJ,,
2023,62836000000,,12934000000,,6,UDJ,,
2022,105200000000,,28110000000,,13,UDJ,,
2021,159750000000,30206000000,,13,,UDJ,,
2020,126590000000,,21820000000,,,UDJ,,
2019,86936000000,,21829000000,,,UDJ,,
2025,992000000000,59500000000,,,8,HMS,,
2024,928000000000,27800000000,,,8,HMS,,
2023,941500000000,51780000000,,,10,HMS,,
2022,933000000000,60670000000,,,10,HMS,,
2021,818000000000,41000000000,,10,,HMS,,
2020,750000000000,42000000000,,,,HMS,,
2019,735000000000,41500000000,,,,HMS,,
2025,113100000000,32400000000,,,,IVS,,
2024,93700000000,33700000000,,,,IVS,,
2023,96500000000,25800000000,,,,IVS,,
2022,100000000000,41600000000,,,,IVS,,
2021,67900000000,30100000000,30100000000,,,IVS,,
2020,58800000000,25000000000,25000000000,,,IVS,,
2019,34000000000,,6000000000,,,IVS,,
2025,1000000000000,,500000000000,,10,HHS,,
2024,450000000000,,300000000000,,6,HHS,,
2023,400000000000,,230000000000,,,HHS,,
2021,500000000000,,200000000000,,,HHS,,
2020,710000000000,,235000000000,,,HHS,,
2019,1200000000000,,202000000000,,,HHS,,
2025,50600000000,,199000000,,,ATS,,
2024,50000000000,,5000000000,,,ATS,,
2023,45000000000,,1600000000,,,ATS,,
2022,720000000000,,19000000000,,,ATS,,
2020,40000000000,,1000000000,,3,ATS,,
2019,60000000000,,4980000000,,5,ATS,,
2025,51000000000,,300000000,,,BTG,,
2024,53060000000,,500000000,,,BTG,,
2023,33570000000,300000000,,,,BTG,,
2022,28500000000,,250000000,,,BTG,,
2021,40000000000,500000000,,,,BTG,,
2020,43000000000,300000000,,,,BTG,,
2019,58591002069,1000000000,,,,BTG,,
2025,15000000000,,240000000,,,PIV,,
2024,10000000000,,200000000,,,PIV,,
2023,50000000000,,2500000000,,,PIV,,
2021,10411000000000,875000000000,729000000000,,,PIV,,
2020,20000000000,-3300000000,-3300000000,,,PIV,,
2019,60000000000,3000000000,2400000000,,,PIV,,
2025,280000000000,17000000000,,,15,PDB,,
