Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Cash Cycle,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DCV,2023,4,0.0,0.16245268595000087,2.6349607364095604,0.0,0.0,0.0,0.0,0.13084608336305772,1,0.11854500935842535,0.0,0.0,0.0,0.0,33771080455,0.0,0.0,0.0,,1.2486185507621785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2023,3,0.0,0.09104477290500654,2.721083727205122,0.0,0.0,0.0,0.0,0.34804317239150956,1,0.3038345593616596,0.0,0.0,0.0,0.0,94878561410,0.0,0.0,0.0,,1.2218570912650946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2023,2,0.0,0.09512665649306738,2.7550529590534554,0.0,0.0,0.0,0.0,0.315618952369963,1,0.29460064902427413,0.0,0.0,0.0,0.0,77703592761,0.0,0.0,0.0,,1.1640433419531877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2023,1,0.0,0.0933538330230683,2.822027502578992,0.0,0.0,0.0,0.0,0.3463119921012057,1,0.2983129249759701,0.0,0.0,0.0,0.0,83627239396,0.0,0.0,0.0,,1.138801465974724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2022,4,0.0,0.10801494277808228,2.5911499040307593,0.0,0.0,0.0,0.0,0.7021862228791951,1,0.5357436914250688,0.0,0.0,0.0,0.0,166271269987,0.0,0.0,0.0,,1.1726574623196653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2022,3,0.0,0.027529257281804165,2.1845647923859715,0.0,0.0,0.0,0.0,0.39875699356419436,1,0.3225645626567308,0.0,0.0,0.0,0.0,108135582023,0.0,0.0,0.0,,1.3917403619808146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2022,2,0.0,0.023478166288105798,2.6028828283534358,0.0,0.0,0.0,0.0,0.4336944337455221,1,0.36665932723581046,0.0,0.0,0.0,0.0,129076280484,0.0,0.0,0.0,,1.2282699900203893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2022,1,0.0,0.022428734682339028,2.7022813456962136,0.0,0.0,0.0,0.0,0.46826117026427155,1,0.3915839620520093,0.0,0.0,0.0,0.0,141528158690,0.0,0.0,0.0,,1.20717202049731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2021,4,0.0,0.02664266509796804,2.399483777828267,0.0,0.0,0.0,0.0,0.7123268097507235,1,0.5527671155547598,0.0,0.0,0.0,0.0,211731962444,0.0,0.0,0.0,,1.2594428834939828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
DCV,2021,3,0.0,0.035015369323195426,1.872886236058724,0.0,0.0,0.0,0.0,0.46554485265472273,1,0.17293491768297486,0.0,0.0,0.0,0.0,128441595632,0.0,0.0,0.0,,1.3889473909110266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,DCV
