Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
VNG,2024,2,3.2831788147,2.5518448304,1.8193166879693543,1.1514590009583805,0.2100320465,0.3953488792,61.51558226069541,6.3528731662,110.3889052927,178.2573607195954,57.4543187705,0.2544642529730523,0.3744728901868124,0.21262585521337068,0.0028757092,0.0482317379,0.0008177538,249678290645.0,55391326906,0.0,0.7578486135,0.03196819,0.7510681639,-0.895378912383299,3.5518448303929984,778212864000,97276608,244.7927301317,0.6961743412,0.9530935693,-1.9223467956,475.7980330276319,11491.374397296,12.287850314,quarter,VNG
VNG,2024,1,3.9715734628999995,2.6430286087,1.913040815875048,1.1038799524578407,0.2087255832,0.4311906202,46.26183333759124,6.2602680562,111.3933353356,163.91543672939125,58.3042126504,0.04475771561093196,0.21523513090802007,-0.2812150772651975,-0.0320247173,0.0353456876,-0.0096418959,191548467058.0,7174210624,0.0,1.0872820405,0.0556424714,1.0758904489,-0.13040123243583623,3.6430286087227066,833660530560,97276608,-23.5652400206,0.7779892505,1.0885756664,-3.2114301863,-463.3790483833482,11015.5763642684,16.2849461189,quarter,VNG
VNG,2023,4,3.6459331972999998,2.4938840956,1.843763387518424,1.1503304689180773,0.2198125691,0.5030867369,39.639270106034466,7.0455910927,99.5620597946,146.24692099333447,51.8054475771,0.29202747108399024,0.4517175141016491,0.0021357823037937377,0.0029844231,0.040183928,0.0009848787,193738804565.0,67357312451,0.0,1.0842612605,0.1269392909,1.0715928091,-1.0670285303971465,3.484048374398764,881326068480,97276608,264.8579505807,0.7892704235,1.1867062714,-3.523196027,5.0641855336896615,11478.9554126517,14.9525275196,quarter,VNG
VNG,2023,3,3.4495636941,2.363812874,1.8834250043812917,1.1494458065303839,0.2244909102,0.5952863302,34.27956402134448,6.7556129132,111.5718955801,152.60707251464447,54.0291465317,0.17568101366714023,0.34262369252334324,0.0071112719384632105,0.0027004601,0.0333771099,0.0009531523,157635576734.0,36522392923,0.0,1.0269619469,0.1156887238,1.0112488779,-0.8415863636452962,3.3638128740315207,885217132800,97276608,294.6069052692,0.7931809533,1.2508535996,9.0379887508,15.197538908840242,11472.7918796572,18.4017842374,quarter,VNG
VNG,2023,2,2.4624032566,1.7796840187,0.7887831038500374,1.1480915842439736,0.2412718759,0.7941432605,39.55028828021679,6.4679902015,55.9736274543,101.99190593601679,56.4317490643,0.05403304456000757,0.23810406401322814,0.04627897893896064,0.0024444304,0.0378178697,0.0009331554,143048663941.0,9023117185,0.0,1.116628549,0.0793323262,1.1043515407,-0.23690667605403756,2.779684018744828,846306489600,97276608,311.3675579358,0.7593216989,1.2042610918,14.3651531607,79.44608645276776,11457.5943407484,16.3563920716,quarter,VNG
VNG,2023,1,2.1937576814,1.6160818039,0.7927800829147967,1.140077018853289,0.2459148609,0.7853397144,41.38593931492148,6.6540222562,59.4322173948,107.47217896592147,54.8540395487,0.17206602251935627,0.3713039752842231,-0.04649982389732932,0.004468599,0.0403294642,0.001748617,142427005092.0,23973276325,0.0,1.1048447001,0.1085552094,1.0912678922,-0.6724138688652839,2.6160818038679765,952337992320,97276608,191.7845048325,0.8604212022,1.3637144275,6.8165892393,-66.60014293467141,11378.1482542956,15.8692072128,quarter,VNG
VNG,2022,4,2.086439756,1.551929763,0.7970206935461784,1.14690224230372,0.2411806374,0.6852594144,35.14855638647178,7.207656867,38.3827189899,80.73893224337178,50.6405905187,0.22387938868218873,0.3492578073114913,0.0017443600139091173,0.0023460287,0.0372012388,0.0010183616,132807743983.0,37579542112,0.0,1.2271449541,0.1299830577,1.2109133656,-1.1916381834223226,2.5480225905591096,883271600640,97276608,337.9584108024,0.793376987,1.4269963103,4.0070386428,3.009990161252333,11444.7483972303,16.2320320943,quarter,VNG
VNG,2022,3,2.2053403044,1.5120473872,0.7980936482247176,1.1468360347217288,0.1830514917,0.5335684245,59.479088793530465,7.8309958782,66.9931496912,134.30323436293048,46.6096529325,0.14837485308293075,0.3169178370354478,0.005871383605380499,0.0028771939,0.0051858731,0.0012137223,55198636615.0,30114147305,0.0,1.5143639429,0.1863076246,1.4990853561,-1.0339765104536736,2.5120473872332036,942610331520,97276608,294.7712117694,0.8468807514,1.9544794746,-21.2656271299,12.250175365900917,11441.9887148409,40.1292211079,quarter,VNG
VNG,2022,2,2.1952977513,1.5234593736,0.8057874044326236,1.145773085153216,0.1196149688,0.3272619406,109.559900611338,10.8366199929,83.8916665519,204.288187156138,33.6820890868,0.05199825462266609,0.28729364936341917,0.06136217043495589,0.0022972297,-0.0158330834,0.0010178496,2739072654.0,8453554872,0.0,1.5928292472,0.2267915998,1.5795024865,-0.331900643306511,2.523459373622805,796695419520,97276608,312.3743699312,0.7165898083,2.6581133218,30.2472016227,102.55170937909348,11429.1326858046,751.6432817324,quarter,VNG
VNG,2022,1,2.128264199,1.3858164097,0.8246601264118549,1.1340480879051622,0.0847559174,0.2139598733,162.99978017501317,12.3274392587,70.9717479114,246.29896734511317,29.6087445528,0.16853803087456146,0.37987136779621505,-0.10337126928897887,0.0023293643,-0.0395573016,0.0011014274,-53872840813.0,14423933332,0.0,1.8647240624,0.5831144013,1.8501184595,-0.47904499543264917,2.3858164096955976,1099225670400,97276608,425.5437390835,0.9977082854,5.5300625837,-6.6270520694,-90.9446637057904,11325.9558579592,-40.3106755441,quarter,VNG
