Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,period,Chỉ tiêu định giá,Chỉ tiêu định giá,symbol
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/S,P/Cash Flow,EPS (VND),EV/EBITDA,,P/B,BVPS (VND),
NOS,2021,4,-1.1786487764,-1.1799454414,-0.14791761488018973,-21.213076402512964,0.2992581873,0.3523527834,76.08809036457338,4.0124155183,214.8251164744,294.92562235727337,90.9676473777,-0.10030840601991428,-0.02703405093618664,0.10391687140507501,0.0,0.0592002702,-0.1374857055,57905115349.0,-7246711805,0.0356564504,0.0019783476,0.0338791093,0.44358894207870775,-0.18108911003708383,112781783232.0,19525932.0,-1.0241182992,0.4580670823,7.0497410698,384.4837165775237,52.3604346146,quarter,0.0,0.0,NOS
NOS,2021,3,0.0,0.0,-0.155821893759082,-21.250508606865775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2273997672897373,-0.18403145191981293,-0.4637243932273919,0.0,0.0,0.0,0.0,-15510447563,0.0,0.0,0.0,0.9488458077460797,-0.18807845305803003,60530389200.0,19525932.0,-0.2633183171,0.2750756967,11.1547429494,-1619.8786557794015,-400.070817005,quarter,0.0,0.0,NOS
NOS,2021,2,0.0,0.0,-0.1652128212272322,-21.09280198300758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3706363185904753,-0.3213030785118475,-0.38191995403997425,0.0,0.0,0.0,0.0,-23573389533,0.0,0.0,0.0,1.443059850075124,-0.19682287957430483,31241491200.0,19525932.0,-0.1359062282,0.1419745531,5.7572866836,-1244.0408348241713,-396.887874117,quarter,0.0,0.0,NOS
NOS,2020,4,-1.2286163677,-1.2115710821,-0.18564832426164285,-20.640298148808338,0.2232417013,0.2518296261,86.93760381621954,2.4949206296,209.2997670532,298.73229149901954,146.2972391487,-0.6585818484836106,-0.5977914835260213,-0.8218135253337228,0.0,0.1207391495,-0.2395405392,-7447895436.0,-35311876769,0.0323340252,0.0005529803,0.0317470865,2.125941072635083,-0.21388315284401527,56625202800.0,19525932.0,-0.2463300386,0.2573288775,10.435082114,-2256.693383291512,-399.5464827909,quarter,0.0,0.0,NOS
NOS,2020,3,0.0,0.0,-0.1961413785038484,-20.420824800169527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5339064474627531,-0.48694674050721154,-0.8226415696292526,0.0,0.0,0.0,0.0,-31766488403,0.0,0.0,0.0,1.9131114144625847,-0.2258208639229995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,0.0,0.0,NOS
NOS,2020,2,0.0,0.0,-0.2071037086395552,-20.176779541897687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7165736434996217,-0.6717000377257992,-1.6796110845028387,0.0,0.0,0.0,0.0,-34363023117,0.0,0.0,0.0,2.059955045872802,-0.23446076873413388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quarter,0.0,0.0,NOS
NOS,2019,4,-1.324758,-1.2792528888,-0.2505445370097413,-19.484971104482447,0.2347559621,0.2735416369,69.00408352783307,2.5552975423,197.4528782967,269.01225936683306,142.8405083791,-0.439496560153083,-0.40300077262638945,-1.8576609042574226,0.0,0.1308454914,-0.2312849086,18664251247.0,-30032576886,0.0377122911,0.0004940123,0.0366561069,1.512613822367614,-0.2832316043374339,7810372800.0,19525932.0,-0.0283996073,0.02724021,0.4475130915,-6501.173941709927,157.8924207505,quarter,0.0,0.0,NOS
NOS,2019,3,-1.3792119964,-1.3274031687,-0.2681719641680443,-18.850844757528918,0.2192998088,0.2679300017,74.17290198545754,2.1891671531,203.0072719548,279.36934109335755,166.7300733413,-0.24964356653499262,-0.3697884558058698,-0.541044398328781,0.0,0.148052446,-0.1152045636,-86472864329.0,-16123873870,0.044522615,0.0011042359,0.043830603,0.9578031984889395,-0.3274031686717327,11715559200.0,19525932.0,-0.0800988121,0.0409661317,0.6890399252,-1789.6584121055016,-34.9066261223,quarter,0.0,0.0,NOS
NOS,2019,2,-1.3909891289999998,-1.336341923,-0.2796230840773607,-18.69903939776127,0.2130573419,0.2577741274,73.77347957966592,2.2116769797,209.948287789,285.9334443483659,165.0331415238,-0.9094611873532422,-0.6482777474539324,-1.305886026676932,0.0,0.1704862057,-0.1234898378,-98204507365.0,-66501885965,0.0401580541,0.0013130244,0.0393283254,3.358525173528495,-0.3363419230368071,5857779600.0,19525932.0,-0.0365464406,0.0206227821,0.0733836937,-4890.387746254571,-30.6932522878,quarter,0.0,0.0,NOS
NOS,2019,1,-1.4238686845,-1.3658009428,-0.29814968700012595,-18.222925623394495,0.2024453318,0.2436655347,75.64039178495732,2.4750166325,232.2741755832,310.3895840006573,147.4737564237,-0.014600975402983817,0.02755616580188435,-0.25913887397394975,0.0,0.1429854213,-0.1558562418,-29811401169.0,-1158886872,0.052017895,0.0017119241,0.0511252736,0.06925485239824793,-0.36580094278314007,5857779600.0,19525932.0,-0.0282233034,0.0211539625,0.6010727238,-1053.3676305950466,-100.9957440004,quarter,0.0,0.0,NOS
