stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
VIC,Bất động sản,6.69,STOCK,2026-02-06,58,UVEEF
MWG,Bán lẻ,5.95,STOCK,2026-02-06,58,UVEEF
FPT,Công nghệ và thông tin,5.74,STOCK,2026-02-06,58,UVEEF
PNJ,Sản xuất Phụ trợ,5.25,STOCK,2026-02-06,58,UVEEF
GAS,Tiện ích,4.11,STOCK,2026-02-06,58,UVEEF
TCB,Ngân hàng,4.09,STOCK,2026-02-06,58,UVEEF
CTG,Ngân hàng,4.06,STOCK,2026-02-06,58,UVEEF
HDB,Ngân hàng,3.76,STOCK,2026-02-06,58,UVEEF
TCX,Chứng khoán,3.73,STOCK,2026-02-06,58,UVEEF
ACB,Ngân hàng,12.49,STOCK,2026-02-09,47,MBVF
TCB,Ngân hàng,11.51,STOCK,2026-02-09,47,MBVF
PVT,Vận tải - Kho bãi,5.26,STOCK,2026-02-09,47,MBVF
VIB,Ngân hàng,5.1,STOCK,2026-02-09,47,MBVF
QTP,Tiện ích,4.04,STOCK,2026-02-09,47,MBVF
CTG,Ngân hàng,3.93,STOCK,2026-02-09,47,MBVF
DPR,Sản xuất Nhựa - Hóa chất,3.29,STOCK,2026-02-09,47,MBVF
QNS,Thực phẩm - Đồ uống,3.27,STOCK,2026-02-09,47,MBVF
HPG,Vật liệu xây dựng,2.91,STOCK,2026-02-09,47,MBVF
TCI,Chứng khoán,2.39,STOCK,2026-02-09,47,MBVF
MWG,Bán lẻ,16.49,STOCK,2026-02-06,49,VLGF
FPT,Công nghệ và thông tin,10.75,STOCK,2026-02-06,49,VLGF
CTG,Ngân hàng,6.11,STOCK,2026-02-06,49,VLGF
MBB,Ngân hàng,4.82,STOCK,2026-02-06,49,VLGF
NLG,Bất động sản,4.76,STOCK,2026-02-06,49,VLGF
MSN,Thực phẩm - Đồ uống,4.69,STOCK,2026-02-06,49,VLGF
GMD,Vận tải - Kho bãi,4.63,STOCK,2026-02-06,49,VLGF
HPG,Vật liệu xây dựng,4.49,STOCK,2026-02-06,49,VLGF
VCB,Ngân hàng,4.4,STOCK,2026-02-06,49,VLGF
TCB,Ngân hàng,4.29,STOCK,2026-02-06,49,VLGF
MWG,Bán lẻ,7.34,STOCK,2026-02-09,25,DCDE
TCB,Ngân hàng,4.58,STOCK,2026-02-09,25,DCDE
MBB,Ngân hàng,4.34,STOCK,2026-02-09,25,DCDE
HDB,Ngân hàng,3.9,STOCK,2026-02-09,25,DCDE
CTG,Ngân hàng,3.81,STOCK,2026-02-09,25,DCDE
FPT,Công nghệ và thông tin,3.34,STOCK,2026-02-09,25,DCDE
PVS,Khai khoáng,3.32,STOCK,2026-02-09,25,DCDE
VPB,Ngân hàng,3.22,STOCK,2026-02-09,25,DCDE
STB,Ngân hàng,3.13,STOCK,2026-02-09,25,DCDE
PVD,Khai khoáng,3.11,STOCK,2026-02-09,25,DCDE
MBB,Ngân hàng,4.54,STOCK,2026-02-06,31,VCBF-TBF
FPT,Công nghệ và thông tin,3.72,STOCK,2026-02-06,31,VCBF-TBF
MWG,Bán lẻ,3.53,STOCK,2026-02-06,31,VCBF-TBF
CTG,Ngân hàng,3.48,STOCK,2026-02-06,31,VCBF-TBF
PNJ,Sản xuất Phụ trợ,3.35,STOCK,2026-02-06,31,VCBF-TBF
STB,Ngân hàng,3.31,STOCK,2026-02-06,31,VCBF-TBF
MSN,Thực phẩm - Đồ uống,2.95,STOCK,2026-02-06,31,VCBF-TBF
HPG,Vật liệu xây dựng,2.94,STOCK,2026-02-06,31,VCBF-TBF
MML121021,Thực phẩm - Đồ uống,3.29,BOND,2026-02-06,31,VCBF-TBF
MSN123008,Thực phẩm - Đồ uống,3.15,BOND,2026-02-06,31,VCBF-TBF
CTG,Ngân hàng,8.82,STOCK,2026-02-06,72,MAFEQI
MBB,Ngân hàng,7.48,STOCK,2026-02-06,72,MAFEQI
MWG,Bán lẻ,7.05,STOCK,2026-02-06,72,MAFEQI
HPG,Vật liệu xây dựng,6.63,STOCK,2026-02-06,72,MAFEQI
VIC,Bất động sản,4.72,STOCK,2026-02-06,72,MAFEQI
VCB,Ngân hàng,4.12,STOCK,2026-02-06,72,MAFEQI
PVS,Khai khoáng,3.81,STOCK,2026-02-06,72,MAFEQI
SSI,Chứng khoán,3.5,STOCK,2026-02-06,72,MAFEQI
FPT,Công nghệ và thông tin,3.44,STOCK,2026-02-06,72,MAFEQI
PNJ,Sản xuất Phụ trợ,3.08,STOCK,2026-02-06,72,MAFEQI
FPT,Công nghệ và thông tin,5.2,STOCK,2026-02-06,70,VCAMBF
STB,Ngân hàng,5.16,STOCK,2026-02-06,70,VCAMBF
MBB,Ngân hàng,4.98,STOCK,2026-02-06,70,VCAMBF
GAS,Tiện ích,4.79,STOCK,2026-02-06,70,VCAMBF
CTG,Ngân hàng,4.62,STOCK,2026-02-06,70,VCAMBF
ACB,Ngân hàng,4.23,STOCK,2026-02-06,70,VCAMBF
MWG,Bán lẻ,3.53,STOCK,2026-02-06,70,VCAMBF
PVS,Khai khoáng,2.92,STOCK,2026-02-06,70,VCAMBF
HPG,Vật liệu xây dựng,2.82,STOCK,2026-02-06,70,VCAMBF
VNM,Thực phẩm - Đồ uống,2.27,STOCK,2026-02-06,70,VCAMBF
ACB,Ngân hàng,11.54,STOCK,2026-02-06,14,BVPF
FPT,Công nghệ và thông tin,10.52,STOCK,2026-02-06,14,BVPF
MBB,Ngân hàng,7.23,STOCK,2026-02-06,14,BVPF
QTP,Tiện ích,6.02,STOCK,2026-02-06,14,BVPF
MWG,Bán lẻ,5.23,STOCK,2026-02-06,14,BVPF
CTG,Ngân hàng,4.9,STOCK,2026-02-06,14,BVPF
PNJ,Sản xuất Phụ trợ,4.79,STOCK,2026-02-06,14,BVPF
HCM,Chứng khoán,4.57,STOCK,2026-02-06,14,BVPF
VIB,Ngân hàng,4.32,STOCK,2026-02-06,14,BVPF
IJC,Bất động sản,3.6,STOCK,2026-02-06,14,BVPF
MBB,Ngân hàng,6.6,STOCK,2026-02-06,81,ENF
VCB,Ngân hàng,4.81,STOCK,2026-02-06,81,ENF
FPT,Công nghệ và thông tin,4.66,STOCK,2026-02-06,81,ENF
HPG,Vật liệu xây dựng,4.35,STOCK,2026-02-06,81,ENF
CTG,Ngân hàng,3.78,STOCK,2026-02-06,81,ENF
MWG,Bán lẻ,3.0,STOCK,2026-02-06,81,ENF
STB,Ngân hàng,2.96,STOCK,2026-02-06,81,ENF
TCB,Ngân hàng,2.65,STOCK,2026-02-06,81,ENF
PNJ,Sản xuất Phụ trợ,2.56,STOCK,2026-02-06,81,ENF
VIC,Bất động sản,2.21,STOCK,2026-02-06,81,ENF
FMC,Chế biến thủy sản,4.49,STOCK,2026-02-07,41,TBLF
VNM,Thực phẩm - Đồ uống,3.92,STOCK,2026-02-07,41,TBLF
TV2,"Dịch vụ tư vấn, hỗ trợ",3.86,STOCK,2026-02-07,41,TBLF
SIP,Tiện ích,3.81,STOCK,2026-02-07,41,TBLF
MWG,Bán lẻ,2.58,STOCK,2026-02-07,41,TBLF
BWE,Tiện ích,2.57,STOCK,2026-02-07,41,TBLF
TLG,Sản xuất Phụ trợ,2.14,STOCK,2026-02-07,41,TBLF
VIP,Vận tải - Kho bãi,1.65,STOCK,2026-02-07,41,TBLF
PVD,Khai khoáng,18.7,STOCK,2026-02-06,38,VNDAF
VCB,Ngân hàng,10.67,STOCK,2026-02-06,38,VNDAF
GAS,Tiện ích,7.07,STOCK,2026-02-06,38,VNDAF
BID,Ngân hàng,5.35,STOCK,2026-02-06,38,VNDAF
PNJ,Sản xuất Phụ trợ,5.13,STOCK,2026-02-06,38,VNDAF
STB,Ngân hàng,4.75,STOCK,2026-02-06,38,VNDAF
PVS,Khai khoáng,4.74,STOCK,2026-02-06,38,VNDAF
FPT,Công nghệ và thông tin,4.46,STOCK,2026-02-06,38,VNDAF
HDB,Ngân hàng,4.3,STOCK,2026-02-06,38,VNDAF
VNM,Thực phẩm - Đồ uống,4.27,STOCK,2026-02-06,38,VNDAF
MBB,Ngân hàng,6.15,STOCK,2026-02-06,22,VIBF
HPG,Vật liệu xây dựng,3.99,STOCK,2026-02-06,22,VIBF
PNJ,Sản xuất Phụ trợ,3.91,STOCK,2026-02-06,22,VIBF
VCB,Ngân hàng,3.26,STOCK,2026-02-06,22,VIBF
CTG,Ngân hàng,2.92,STOCK,2026-02-06,22,VIBF
MWG,Bán lẻ,2.9,STOCK,2026-02-06,22,VIBF
PC1,Xây dựng,2.2,STOCK,2026-02-06,22,VIBF
MSN123010,Thực phẩm - Đồ uống,11.65,BOND,2026-02-06,22,VIBF
HDC12502,Bất động sản,3.08,UNLISTED_BOND,2026-02-06,22,VIBF
VCK125005,Khác,2.3,BOND,2026-02-06,22,VIBF
HPG,Vật liệu xây dựng,5.78,STOCK,2026-02-05,29,DCAF
FPT,Công nghệ và thông tin,5.38,STOCK,2026-02-05,29,DCAF
BID,Ngân hàng,4.41,STOCK,2026-02-05,29,DCAF
TCB,Ngân hàng,4.36,STOCK,2026-02-05,29,DCAF
MWG,Bán lẻ,4.31,STOCK,2026-02-05,29,DCAF
BMP,Sản xuất Nhựa - Hóa chất,4.03,STOCK,2026-02-05,29,DCAF
VNM,Thực phẩm - Đồ uống,3.93,STOCK,2026-02-05,29,DCAF
CTG,Ngân hàng,3.9,STOCK,2026-02-05,29,DCAF
MBB,Ngân hàng,3.88,STOCK,2026-02-05,29,DCAF
STB,Ngân hàng,3.83,STOCK,2026-02-05,29,DCAF
NAB,Ngân hàng,8.65,STOCK,2026-02-06,64,LHBF
DSE125018,Chứng khoán,12.68,BOND,2026-02-06,64,LHBF
MSN123008,Thực phẩm - Đồ uống,9.15,BOND,2026-02-06,64,LHBF
SHB125010,Ngân hàng,8.52,BOND,2026-02-06,64,LHBF
HDB125025,Ngân hàng,8.45,BOND,2026-02-06,64,LHBF
CTG121031,Ngân hàng,6.94,BOND,2026-02-06,64,LHBF
CTG123019,Ngân hàng,5.52,BOND,2026-02-06,64,LHBF
SBTH2427001,Thực phẩm - Đồ uống,5.07,UNLISTED_BOND,2026-02-06,64,LHBF
DSE125004,Chứng khoán,4.7,BOND,2026-02-06,64,LHBF
TNG124027,Sản xuất Hàng gia dụng,4.29,BOND,2026-02-06,64,LHBF
CTG,Ngân hàng,4.82,STOCK,2026-02-06,71,MAFBAL
MBB,Ngân hàng,4.5,STOCK,2026-02-06,71,MAFBAL
HPG,Vật liệu xây dựng,4.01,STOCK,2026-02-06,71,MAFBAL
MWG,Bán lẻ,3.85,STOCK,2026-02-06,71,MAFBAL
VHM,Bất động sản,2.44,STOCK,2026-02-06,71,MAFBAL
VCB,Ngân hàng,2.15,STOCK,2026-02-06,71,MAFBAL
MSN123010,Thực phẩm - Đồ uống,4.29,BOND,2026-02-06,71,MAFBAL
VHM121025,Bất động sản,3.69,BOND,2026-02-06,71,MAFBAL
VIC124005,Bất động sản,3.59,BOND,2026-02-06,71,MAFBAL
VIC124004,Bất động sản,2.36,BOND,2026-02-06,71,MAFBAL
MWG,Bán lẻ,4.54,STOCK,2026-02-06,66,PHVSF
