stock_code,industry,net_asset_percent,type_asset,update_at,fundId,short_name
REE,Thiết bị điện,4.05,STOCK,2026-02-06,80,VDEF
MBB,Ngân hàng,5.87,STOCK,2026-02-06,82,VCBF-AIF
VNM,Thực phẩm - Đồ uống,5.34,STOCK,2026-02-06,82,VCBF-AIF
ACB,Ngân hàng,4.9,STOCK,2026-02-06,82,VCBF-AIF
FPT,Công nghệ và thông tin,4.9,STOCK,2026-02-06,82,VCBF-AIF
TCB,Ngân hàng,3.87,STOCK,2026-02-06,82,VCBF-AIF
CTG,Ngân hàng,3.75,STOCK,2026-02-06,82,VCBF-AIF
PNJ,Sản xuất Phụ trợ,3.62,STOCK,2026-02-06,82,VCBF-AIF
STB,Ngân hàng,3.34,STOCK,2026-02-06,82,VCBF-AIF
MWG,Bán lẻ,3.19,STOCK,2026-02-06,82,VCBF-AIF
TLG,Sản xuất Phụ trợ,2.94,STOCK,2026-02-06,82,VCBF-AIF
MBB,Ngân hàng,7.36,STOCK,2026-02-05,68,VMEEF
FPT,Công nghệ và thông tin,7.07,STOCK,2026-02-05,68,VMEEF
PNJ,Sản xuất Phụ trợ,5.34,STOCK,2026-02-05,68,VMEEF
CTG,Ngân hàng,5.29,STOCK,2026-02-05,68,VMEEF
GMD,Vận tải - Kho bãi,5.24,STOCK,2026-02-05,68,VMEEF
BVH,Bảo hiểm,4.52,STOCK,2026-02-05,68,VMEEF
HPG,Vật liệu xây dựng,4.52,STOCK,2026-02-05,68,VMEEF
VCB,Ngân hàng,4.46,STOCK,2026-02-05,68,VMEEF
MWG,Bán lẻ,4.24,STOCK,2026-02-05,68,VMEEF
ACB,Ngân hàng,3.97,STOCK,2026-02-05,68,VMEEF
PNJ,Sản xuất Phụ trợ,6.47,STOCK,2026-02-06,86,KDEF
VPB,Ngân hàng,6.11,STOCK,2026-02-06,86,KDEF
FPT,Công nghệ và thông tin,6.05,STOCK,2026-02-06,86,KDEF
CTG,Ngân hàng,5.1,STOCK,2026-02-06,86,KDEF
MBB,Ngân hàng,4.95,STOCK,2026-02-06,86,KDEF
PVS,Khai khoáng,4.79,STOCK,2026-02-06,86,KDEF
BVH,Bảo hiểm,4.57,STOCK,2026-02-06,86,KDEF
VCB,Ngân hàng,4.1,STOCK,2026-02-06,86,KDEF
HDB,Ngân hàng,3.68,STOCK,2026-02-06,86,KDEF
TCB,Ngân hàng,3.6,STOCK,2026-02-06,86,KDEF
BAF123020,Nông - Lâm - Ngư,8.76,BOND,2026-02-05,78,UVDIF
VHM121025,Bất động sản,6.89,BOND,2026-02-05,78,UVDIF
TDP124010,Sản xuất Nhựa - Hóa chất,6.78,BOND,2026-02-05,78,UVDIF
NLG12501,Bất động sản,4.57,UNLISTED_BOND,2026-02-05,78,UVDIF
LPB121036,Ngân hàng,3.94,BOND,2026-02-05,78,UVDIF
SHB125010,Ngân hàng,3.5,BOND,2026-02-05,78,UVDIF
DSE125018,Chứng khoán,3.36,BOND,2026-02-05,78,UVDIF
TNG122017,Sản xuất Hàng gia dụng,3.23,BOND,2026-02-05,78,UVDIF
MML121021,Thực phẩm - Đồ uống,2.96,BOND,2026-02-05,78,UVDIF
HDC12502,Bất động sản,2.68,UNLISTED_BOND,2026-02-05,78,UVDIF
VCB,Ngân hàng,7.23,STOCK,2026-02-06,89,EVESG
VIC,Bất động sản,7.2,STOCK,2026-02-06,89,EVESG
MBB,Ngân hàng,5.78,STOCK,2026-02-06,89,EVESG
CTG,Ngân hàng,4.86,STOCK,2026-02-06,89,EVESG
FPT,Công nghệ và thông tin,4.83,STOCK,2026-02-06,89,EVESG
MWG,Bán lẻ,4.59,STOCK,2026-02-06,89,EVESG
HPG,Vật liệu xây dựng,4.37,STOCK,2026-02-06,89,EVESG
BID,Ngân hàng,4.06,STOCK,2026-02-06,89,EVESG
TCB,Ngân hàng,3.29,STOCK,2026-02-06,89,EVESG
STB,Ngân hàng,3.12,STOCK,2026-02-06,89,EVESG
DSE125018,Chứng khoán,19.07,BOND,2026-02-06,69,LPBF
LPB125007,Ngân hàng,18.31,BOND,2026-02-06,69,LPBF
HDB125012,Ngân hàng,18.26,BOND,2026-02-06,69,LPBF
VIC124003,Bất động sản,9.54,BOND,2026-02-06,69,LPBF
BAF12502.CNY,Nông - Lâm - Ngư,9.34,BOND,2026-02-06,69,LPBF
VIC124005,Bất động sản,9.25,BOND,2026-02-06,69,LPBF
SHB125017,Ngân hàng,9.16,BOND,2026-02-06,69,LPBF
CTG,Ngân hàng,5.49,STOCK,2026-02-06,77,MDI
MWG,Bán lẻ,4.63,STOCK,2026-02-06,77,MDI
MBB,Ngân hàng,4.32,STOCK,2026-02-06,77,MDI
HPG,Vật liệu xây dựng,4.08,STOCK,2026-02-06,77,MDI
VHM,Bất động sản,2.66,STOCK,2026-02-06,77,MDI
PVS,Khai khoáng,2.25,STOCK,2026-02-06,77,MDI
VCB,Ngân hàng,2.12,STOCK,2026-02-06,77,MDI
PNJ,Sản xuất Phụ trợ,2.09,STOCK,2026-02-06,77,MDI
FPT,Công nghệ và thông tin,1.98,STOCK,2026-02-06,77,MDI
CTD,Xây dựng,1.97,STOCK,2026-02-06,77,MDI
NLG12501,Bất động sản,19.17,BOND,2026-02-05,88,MBAM
VPI124001,Bất động sản,17.79,BOND,2026-02-05,88,MBAM
BAF123020,Nông - Lâm - Ngư,12.57,BOND,2026-02-05,88,MBAM
VIC124004,Bất động sản,11.22,BOND,2026-02-05,88,MBAM
VHM121025,Bất động sản,7.38,BOND,2026-02-05,88,MBAM
TNG124027,Sản xuất Hàng gia dụng,5.16,BOND,2026-02-05,88,MBAM
SBT12401,Thực phẩm - Đồ uống,2.06,BOND,2026-02-05,88,MBAM
DSE125018,Chứng khoán,1.81,BOND,2026-02-05,88,MBAM
VIC123029,Bất động sản,0.29,BOND,2026-02-05,88,MBAM
HDB125012,Ngân hàng,0.04,BOND,2026-02-05,88,MBAM
CVT122009,Vật liệu xây dựng,16.03,BOND,2026-02-06,40,VNDCF
NLG12501,Bất động sản,7.13,BOND,2026-02-06,40,VNDCF
VHM121025,Bất động sản,5.58,BOND,2026-02-06,40,VNDCF
VBA123036,Ngân hàng,5.3,BOND,2026-02-06,40,VNDCF
HDB124018,Ngân hàng,4.12,BOND,2026-02-06,40,VNDCF
VBA121033,Ngân hàng,3.25,BOND,2026-02-06,40,VNDCF
HDB124006,Ngân hàng,1.79,BOND,2026-02-06,40,VNDCF
CTG123018,Ngân hàng,0.31,BOND,2026-02-06,40,VNDCF
ABB,Ngân hàng,7.23,STOCK,2026-02-06,75,VCAMDF
VCI,Chứng khoán,6.35,STOCK,2026-02-06,75,VCAMDF
EVF,Tài chính khác,6.21,STOCK,2026-02-06,75,VCAMDF
TLG,Sản xuất Phụ trợ,5.89,STOCK,2026-02-06,75,VCAMDF
STB,Ngân hàng,4.37,STOCK,2026-02-06,75,VCAMDF
NT2,Tiện ích,4.33,STOCK,2026-02-06,75,VCAMDF
IDC,Tiện ích,4.15,STOCK,2026-02-06,75,VCAMDF
MWG,Bán lẻ,4.03,STOCK,2026-02-06,75,VCAMDF
PVS,Khai khoáng,3.75,STOCK,2026-02-06,75,VCAMDF
CTG,Ngân hàng,3.63,STOCK,2026-02-06,75,VCAMDF
ACB,Ngân hàng,13.43,STOCK,2026-02-05,87,BMFF
TCB,Ngân hàng,8.99,STOCK,2026-02-05,87,BMFF
VIB,Ngân hàng,6.27,STOCK,2026-02-05,87,BMFF
PVT,Vận tải - Kho bãi,5.6,STOCK,2026-02-05,87,BMFF
CTG,Ngân hàng,3.6,STOCK,2026-02-05,87,BMFF
QNS,Thực phẩm - Đồ uống,3.54,STOCK,2026-02-05,87,BMFF
HPG,Vật liệu xây dựng,3.14,STOCK,2026-02-05,87,BMFF
DPR,Sản xuất Nhựa - Hóa chất,2.98,STOCK,2026-02-05,87,BMFF
DSE125018,Chứng khoán,4.67,BOND,2026-02-05,87,BMFF
HDB125012,Ngân hàng,4.03,BOND,2026-02-05,87,BMFF
ACB,Ngân hàng,6.62,STOCK,2026-02-05,83,RVPIF
KDH,Bất động sản,6.54,STOCK,2026-02-05,83,RVPIF
MWG,Bán lẻ,6.13,STOCK,2026-02-05,83,RVPIF
KBC,Bất động sản,5.53,STOCK,2026-02-05,83,RVPIF
CTG,Ngân hàng,5.18,STOCK,2026-02-05,83,RVPIF
HPG,Vật liệu xây dựng,4.67,STOCK,2026-02-05,83,RVPIF
MSN,Thực phẩm - Đồ uống,3.88,STOCK,2026-02-05,83,RVPIF
HCM,Chứng khoán,3.73,STOCK,2026-02-05,83,RVPIF
VCB,Ngân hàng,3.72,STOCK,2026-02-05,83,RVPIF
FPT,Công nghệ và thông tin,3.45,STOCK,2026-02-05,83,RVPIF
F88,Khác,9.42,STOCK,2026-02-05,79,TCGF
HPG,Vật liệu xây dựng,9.03,STOCK,2026-02-05,79,TCGF
CTG,Ngân hàng,7.86,STOCK,2026-02-05,79,TCGF
MSN,Thực phẩm - Đồ uống,7.36,STOCK,2026-02-05,79,TCGF
TCB,Ngân hàng,6.05,STOCK,2026-02-05,79,TCGF
VCI,Chứng khoán,5.93,STOCK,2026-02-05,79,TCGF
HDB,Ngân hàng,5.72,STOCK,2026-02-05,79,TCGF
MWG,Bán lẻ,5.64,STOCK,2026-02-05,79,TCGF
SHB,Ngân hàng,4.31,STOCK,2026-02-05,79,TCGF
STB,Ngân hàng,4.25,STOCK,2026-02-05,79,TCGF
NAB,Ngân hàng,14.15,STOCK,2026-02-06,76,LHCDF
DBD,Chăm sóc sức khỏe,9.85,STOCK,2026-02-06,76,LHCDF
HPG,Vật liệu xây dựng,7.06,STOCK,2026-02-06,76,LHCDF
DCM,Sản xuất Nhựa - Hóa chất,4.63,STOCK,2026-02-06,76,LHCDF
KDH,Bất động sản,4.11,STOCK,2026-02-06,76,LHCDF
GSP,Vận tải - Kho bãi,3.52,STOCK,2026-02-06,76,LHCDF
CTG,Ngân hàng,3.47,STOCK,2026-02-06,76,LHCDF
DGC,Sản xuất Nhựa - Hóa chất,3.37,STOCK,2026-02-06,76,LHCDF
VIX,Chứng khoán,3.36,STOCK,2026-02-06,76,LHCDF
CII425021,Xây dựng,7.14,BOND,2026-02-06,76,LHCDF
HPG,Vật liệu xây dựng,9.01,STOCK,2026-02-09,92,GDEGF
ANV,Chế biến thủy sản,5.16,STOCK,2026-02-09,92,GDEGF
GMD,Vận tải - Kho bãi,3.89,STOCK,2026-02-09,92,GDEGF
MWG,Bán lẻ,3.51,STOCK,2026-02-09,92,GDEGF
KDH,Bất động sản,3.18,STOCK,2026-02-09,92,GDEGF
TCH,Bất động sản,3.12,STOCK,2026-02-09,92,GDEGF
NLG,Bất động sản,2.73,STOCK,2026-02-09,92,GDEGF
DCM,Sản xuất Nhựa - Hóa chất,2.69,STOCK,2026-02-09,92,GDEGF
MSN,Thực phẩm - Đồ uống,2.65,STOCK,2026-02-09,92,GDEGF
HDG,Bất động sản,2.31,STOCK,2026-02-09,92,GDEGF
CTG,Ngân hàng,4.15,STOCK,2026-02-09,90,SSI-EF
MWG,Bán lẻ,4.1,STOCK,2026-02-09,90,SSI-EF
HPG,Vật liệu xây dựng,3.66,STOCK,2026-02-09,90,SSI-EF
TCB,Ngân hàng,3.64,STOCK,2026-02-09,90,SSI-EF
MBB,Ngân hàng,3.53,STOCK,2026-02-09,90,SSI-EF
FRT,Bán lẻ,2.8,STOCK,2026-02-09,90,SSI-EF
MML121021,Thực phẩm - Đồ uống,10.29,BOND,2026-02-09,90,SSI-EF
MSN123009,Thực phẩm - Đồ uống,10.19,BOND,2026-02-09,90,SSI-EF
VIC123029,Bất động sản,5.49,BOND,2026-02-09,90,SSI-EF
HDB124018,Ngân hàng,4.67,BOND,2026-02-09,90,SSI-EF
