industry,net_asset_percent,short_name,fund
Chế biến thủy sản,2.89,VEOF,VEOF
Tiện ích,2.87,VEOF,VEOF
Thiết bị điện,2.63,VEOF,VEOF
Chứng khoán,2.32,VEOF,VEOF
Bán buôn,1.51,VEOF,VEOF
Sản xuất Hàng gia dụng,1.16,VEOF,VEOF
Ngân hàng,30.65,UVEEF,UVEEF
Bất động sản,9.11,UVEEF,UVEEF
Công nghệ và thông tin,7.05,UVEEF,UVEEF
Bán lẻ,5.95,UVEEF,UVEEF
Sản xuất Phụ trợ,5.25,UVEEF,UVEEF
Tiện ích,4.57,UVEEF,UVEEF
Chứng khoán,3.73,UVEEF,UVEEF
Thực phẩm - Đồ uống,3.45,UVEEF,UVEEF
Sản xuất Nhựa - Hóa chất,3.32,UVEEF,UVEEF
Khai khoáng,2.88,UVEEF,UVEEF
Vật liệu xây dựng,2.74,UVEEF,UVEEF
Vận tải - Kho bãi,2.44,UVEEF,UVEEF
Bảo hiểm,1.75,UVEEF,UVEEF
Thiết bị điện,1.38,UVEEF,UVEEF
Chế biến thủy sản,1.35,UVEEF,UVEEF
Sản xuất Hàng gia dụng,0.74,UVEEF,UVEEF
Xây dựng,0.06,UVEEF,UVEEF
Ngân hàng,34.32,MBVF,MBVF
Tiện ích,6.33,MBVF,MBVF
Vận tải - Kho bãi,5.26,MBVF,MBVF
Thực phẩm - Đồ uống,4.55,MBVF,MBVF
Sản xuất Nhựa - Hóa chất,3.29,MBVF,MBVF
Vật liệu xây dựng,2.91,MBVF,MBVF
Bất động sản,2.67,MBVF,MBVF
Chứng khoán,2.39,MBVF,MBVF
"Sản xuất Thiết bị, máy móc",1.95,MBVF,MBVF
Công nghệ và thông tin,1.63,MBVF,MBVF
Thiết bị điện,0.65,MBVF,MBVF
Sản xuất Hàng gia dụng,0.4,MBVF,MBVF
Ngân hàng,25.89,VLGF,VLGF
Bán lẻ,17.36,VLGF,VLGF
Công nghệ và thông tin,10.75,VLGF,VLGF
Bất động sản,8.85,VLGF,VLGF
Bán buôn,6.26,VLGF,VLGF
Thực phẩm - Đồ uống,4.86,VLGF,VLGF
Vận tải - Kho bãi,4.63,VLGF,VLGF
Vật liệu xây dựng,4.49,VLGF,VLGF
Tiện ích,4.28,VLGF,VLGF
Sản xuất Phụ trợ,3.76,VLGF,VLGF
Chứng khoán,2.87,VLGF,VLGF
Ngân hàng,28.68,DCDE,DCDE
Chứng khoán,8.44,DCDE,DCDE
Bán lẻ,7.93,DCDE,DCDE
Khai khoáng,6.43,DCDE,DCDE
Tiện ích,5.68,DCDE,DCDE
Thực phẩm - Đồ uống,5.43,DCDE,DCDE
Bất động sản,4.65,DCDE,DCDE
Vật liệu xây dựng,3.66,DCDE,DCDE
Công nghệ và thông tin,3.6,DCDE,DCDE
Bán buôn,2.97,DCDE,DCDE
Vận tải - Kho bãi,2.78,DCDE,DCDE
Sản xuất Phụ trợ,1.87,DCDE,DCDE
Sản xuất Nhựa - Hóa chất,1.83,DCDE,DCDE
Bảo hiểm,1.81,DCDE,DCDE
Sản xuất,1.48,DCDE,DCDE
Chế biến thủy sản,0.93,DCDE,DCDE
Xây dựng,0.73,DCDE,DCDE
Sản xuất Hàng gia dụng,0.56,DCDE,DCDE
Dịch vụ viễn thông,0.28,DCDE,DCDE
Ngân hàng,20.34,VCBF-TBF,VCBF-TBF
Thực phẩm - Đồ uống,12.03,VCBF-TBF,VCBF-TBF
Bất động sản,9.93,VCBF-TBF,VCBF-TBF
Công nghệ và thông tin,4.88,VCBF-TBF,VCBF-TBF
Sản xuất Phụ trợ,4.48,VCBF-TBF,VCBF-TBF
Bán lẻ,3.53,VCBF-TBF,VCBF-TBF
Vật liệu xây dựng,2.94,VCBF-TBF,VCBF-TBF
Tiện ích,2.7,VCBF-TBF,VCBF-TBF
Chứng khoán,2.69,VCBF-TBF,VCBF-TBF
Vận tải - Kho bãi,1.93,VCBF-TBF,VCBF-TBF
Bảo hiểm,1.9,VCBF-TBF,VCBF-TBF
Sản xuất Hàng gia dụng,1.66,VCBF-TBF,VCBF-TBF
Khai khoáng,1.33,VCBF-TBF,VCBF-TBF
Xây dựng,1.17,VCBF-TBF,VCBF-TBF
Bán buôn,1.01,VCBF-TBF,VCBF-TBF
Sản xuất Nhựa - Hóa chất,0.81,VCBF-TBF,VCBF-TBF
Thiết bị điện,0.41,VCBF-TBF,VCBF-TBF
Ngân hàng,32.29,MAFEQI,MAFEQI
Bất động sản,11.81,MAFEQI,MAFEQI
Bán lẻ,7.05,MAFEQI,MAFEQI
Vật liệu xây dựng,6.63,MAFEQI,MAFEQI
Chứng khoán,5.42,MAFEQI,MAFEQI
Xây dựng,5.07,MAFEQI,MAFEQI
Thực phẩm - Đồ uống,4.85,MAFEQI,MAFEQI
Khai khoáng,3.81,MAFEQI,MAFEQI
Công nghệ và thông tin,3.44,MAFEQI,MAFEQI
Sản xuất Phụ trợ,3.08,MAFEQI,MAFEQI
Bảo hiểm,2.08,MAFEQI,MAFEQI
Thiết bị điện,1.54,MAFEQI,MAFEQI
Vận tải - Kho bãi,1.51,MAFEQI,MAFEQI
Sản xuất Nhựa - Hóa chất,1.13,MAFEQI,MAFEQI
Bán buôn,0.95,MAFEQI,MAFEQI
Tiện ích,0.66,MAFEQI,MAFEQI
Ngân hàng,23.75,VCAMBF,VCAMBF
Tiện ích,7.33,VCAMBF,VCAMBF
Khai khoáng,5.71,VCAMBF,VCAMBF
Bán lẻ,5.58,VCAMBF,VCAMBF
Công nghệ và thông tin,5.2,VCAMBF,VCAMBF
Thực phẩm - Đồ uống,4.45,VCAMBF,VCAMBF
Vật liệu xây dựng,2.82,VCAMBF,VCAMBF
Vận tải - Kho bãi,2.67,VCAMBF,VCAMBF
Chứng khoán,2.59,VCAMBF,VCAMBF
Bất động sản,1.79,VCAMBF,VCAMBF
"Dịch vụ lưu trú, ăn uống, giải trí",1.62,VCAMBF,VCAMBF
"Dịch vụ tư vấn, hỗ trợ",1.53,VCAMBF,VCAMBF
Xây dựng,1.47,VCAMBF,VCAMBF
Sản xuất Nhựa - Hóa chất,1.4,VCAMBF,VCAMBF
Bảo hiểm,1.37,VCAMBF,VCAMBF
Sản xuất Phụ trợ,1.05,VCAMBF,VCAMBF
Ngân hàng,30.43,BVPF,BVPF
Công nghệ và thông tin,10.52,BVPF,BVPF
Tiện ích,6.02,BVPF,BVPF
Bán lẻ,5.23,BVPF,BVPF
Sản xuất Phụ trợ,4.79,BVPF,BVPF
Chứng khoán,4.57,BVPF,BVPF
Bất động sản,3.6,BVPF,BVPF
Xây dựng,3.43,BVPF,BVPF
Thực phẩm - Đồ uống,3.43,BVPF,BVPF
"Sản xuất Thiết bị, máy móc",2.95,BVPF,BVPF
Sản xuất Hàng gia dụng,1.85,BVPF,BVPF
Ngân hàng,27.83,ENF,ENF
Công nghệ và thông tin,4.66,ENF,ENF
Bất động sản,4.48,ENF,ENF
Vật liệu xây dựng,4.35,ENF,ENF
Sản xuất Nhựa - Hóa chất,3.63,ENF,ENF
Sản xuất Phụ trợ,3.6,ENF,ENF
Thực phẩm - Đồ uống,3.31,ENF,ENF
Chứng khoán,3.27,ENF,ENF
Vận tải - Kho bãi,3.13,ENF,ENF
Khai khoáng,3.11,ENF,ENF
Bán lẻ,3.0,ENF,ENF
Tiện ích,1.85,ENF,ENF
Xây dựng,1.53,ENF,ENF
Sản xuất,0.64,ENF,ENF
Bán buôn,0.62,ENF,ENF
Thiết bị điện,0.59,ENF,ENF
Tiện ích,6.38,TBLF,TBLF
