asset_percent,asset_type,short_name,fund
5.94,Cổ phiếu,PBIF,PBIF
63.66,Trái phiếu,PBIF,PBIF
30.4,Tiền và tương đương tiền,PBIF,PBIF
94.06,Cổ phiếu,VDEF,VDEF
5.94,Tiền và tương đương tiền,VDEF,VDEF
92.37,Cổ phiếu,VCBF-AIF,VCBF-AIF
7.63,Tiền và tương đương tiền,VCBF-AIF,VCBF-AIF
91.03,Cổ phiếu,VMEEF,VMEEF
8.97,Tiền và tương đương tiền,VMEEF,VMEEF
92.78,Cổ phiếu,KDEF,KDEF
7.22,Tiền và tương đương tiền,KDEF,KDEF
31.65,Cổ phiếu,UVDIF,UVDIF
51.23,Trái phiếu,UVDIF,UVDIF
17.12,Tiền và tương đương tiền,UVDIF,UVDIF
92.74,Cổ phiếu,EVESG,EVESG
7.26,Tiền và tương đương tiền,EVESG,EVESG
92.93,Trái phiếu,LPBF,LPBF
7.07,Tiền và tương đương tiền,LPBF,LPBF
54.97,Cổ phiếu,MDI,MDI
9.9,Khác,MDI,MDI
35.13,Tiền và tương đương tiền,MDI,MDI
77.51,Trái phiếu,MBAM,MBAM
22.49,Tiền và tương đương tiền,MBAM,MBAM
43.51,Trái phiếu,VNDCF,VNDCF
56.49,Tiền và tương đương tiền,VNDCF,VNDCF
79.84,Cổ phiếu,VCAMDF,VCAMDF
0.61,Khác,VCAMDF,VCAMDF
19.55,Tiền và tương đương tiền,VCAMDF,VCAMDF
59.82,Cổ phiếu,BMFF,BMFF
8.7,Trái phiếu,BMFF,BMFF
31.48,Tiền và tương đương tiền,BMFF,BMFF
86.49,Cổ phiếu,RVPIF,RVPIF
13.51,Tiền và tương đương tiền,RVPIF,RVPIF
90.86,Cổ phiếu,TCGF,TCGF
9.14,Tiền và tương đương tiền,TCGF,TCGF
83.55,Cổ phiếu,LHCDF,LHCDF
7.14,Trái phiếu,LHCDF,LHCDF
9.31,Tiền và tương đương tiền,LHCDF,LHCDF
68.41,Cổ phiếu,GDEGF,GDEGF
31.59,Tiền và tương đương tiền,GDEGF,GDEGF
60.63,Cổ phiếu,SSI-EF,SSI-EF
30.63,Trái phiếu,SSI-EF,SSI-EF
8.74,Tiền và tương đương tiền,SSI-EF,SSI-EF
