short_name,name,fund_type,fund_owner_name,management_fee,inception_date,nav,nav_change_previous,nav_change_last_year,nav_change_inception,nav_change_1m,nav_change_3m,nav_change_6m,nav_change_12m,nav_change_24m,nav_change_36m,nav_change_36m_annualized,nav_update_at,fund_id_fmarket,fund_code,vsd_fee_id
VNDCF,QUỸ ĐẦU TƯ TRÁI PHIẾU LINH HOẠT VND,Quỹ trái phiếu,CÔNG TY TNHH MTV QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN IPA,0.9,2023-08-03,11462.5,-0.02,0.6,14.63,0.39,1.29,2.84,5.87,11.1,,,2026-02-12,40,VNDCF,VNDCFN001
MDI,QUỸ ĐẦU TƯ NĂNG ĐỘNG MANULIFE,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ MANULIFE INVESTMENT (VIỆT NAM),1.75,2023-11-29,12294.0,-0.36,0.7,22.95,-1.6,3.16,2.2,11.1,21.14,,,2026-02-12,77,MDI,MDI
VCAMDF,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ CHỨNG KHOÁN BẢN VIỆT,1.5,,11533.85,0.98,4.85,15.34,3.62,2.68,1.83,21.03,,,,2026-02-12,75,VCAMDF,VCAMDFN001
BMFF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ MB,1.8,2023-01-02,15900.0,-0.41,0.38,59.0,-1.72,0.93,0.7,22.42,40.58,,,2026-02-12,87,BMFF,BMFFN001
RVPIF,QUỸ ĐẦU TƯ THỊNH VƯỢNG RỒNG VIỆT,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ RỒNG VIỆT,1.5,,11429.2,1.92,3.86,14.29,1.47,3.07,-1.29,,,,,2026-02-12,83,RVPF24,RVPF24N001
TCGF,QUỸ ĐẦU TƯ TĂNG TRƯỞNG THÀNH CÔNG,Quỹ cổ phiếu,CÔNG TY TNHH QUẢN LÝ QUỸ THÀNH CÔNG,1.5,,12330.96,1.16,2.61,23.31,1.17,6.26,-1.53,21.06,,,,2026-02-12,79,TCGF,TCGFN001
LHCDF,QUỸ ĐẦU TƯ NĂNG ĐỘNG LIGHTHOUSE,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,1.5,,11767.29,-0.95,1.57,17.67,0.67,-0.82,-4.23,4.28,,,,2026-02-12,76,LHCDF,LHCDFN001
GDEGF,QUỸ ĐẦU TƯ CỔ PHIẾU TĂNG TRƯỞNG RỒNG VÀNG,Quỹ cổ phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ HD,1.2,2025-06-29,9214.02,1.57,0.88,-7.78,1.84,-0.59,-7.75,,,,,2026-02-12,92,GDEGF,GDEGFN001
LHFCF,QUỸ ĐẦU TƯ TRÁI PHIẾU DÒNG TIỀN LINH HOẠT LIGHTHOUSE,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ ĐẦU TƯ LIGHTHOUSE,0.0,,10000.0,0.0,0.0,0.0,,,,,,,,2026-02-12,93,LHFCF,LHFCFN001
USIF,QUỸ ĐẦU TƯ TRÁI PHIẾU UNITED THU NHẬP ỔN ĐỊNH,Quỹ trái phiếu,CÔNG TY CỔ PHẦN QUẢN LÝ QUỸ UOB ASSET MANAGEMENT (VIỆT NAM),0.0,,10000.0,0.0,0.0,0.0,,,,,,,,2026-02-12,91,USIF,USIFN001
SSI-EF,QUỸ ĐẦU TƯ KIẾN TẠO TƯƠNG LAI SSI,Quỹ cân bằng,CÔNG TY TNHH QUẢN LÝ QUỸ SSI,1.75,,10097.09,1.52,2.74,0.97,1.07,5.69,,,,,,2026-02-12,90,SSIEF,SSIEFN001
