time,open,high,low,close,volume,symbol,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower,daily_return,volatility_20d
2025-07-29,2351.35,2373.02,2261.16,2263.5,235098121,VNMAT,2253.4165,2108.8544,2061.8981132075473,57.20510317112015,62.67712828641743,66.98657485220183,-4.309446565784398,2402.9172872924128,2103.915712707587,-3.736151572500901,1.3675351596818375
2025-07-30,2263.5,2300.43,2240.18,2290.49,144393294,VNMAT,2262.208,2115.6604,2064.0344859813085,60.88154208246634,58.16574614823139,65.22240911140774,-7.0566629631763504,2397.3415201861235,2127.0744798138767,1.1924011486635688,1.3659969549091866
2025-07-31,2290.49,2308.15,2247.14,2264.03,174023867,VNMAT,2269.4010000000003,2122.0404,2065.886296296296,55.81878181366361,51.857560756225666,62.54943944037133,-10.691878684145664,2386.8598981460445,2151.942101853956,-1.1552113303266776,1.4100713207916953
2025-08-01,2264.03,2280.82,2246.49,2265.23,117937557,VNMAT,2276.4399999999996,2128.4812,2067.715137614679,55.997494430911004,46.42000740629237,59.32355303355554,-12.90354562726317,2372.19128967112,2180.688710328879,0.05300283123454985,1.4112217714423179
2025-08-04,2265.23,2288.18,2255.0,2284.3,94798281,VNMAT,2283.1575000000003,2134.9629999999997,2069.684090909091,58.846408816620716,43.15206666311042,56.08925575946652,-12.9371890963561,2358.1438613914925,2208.171138608508,0.841857118261724,1.4018432968605663
2025-08-05,2284.3,2393.28,2278.95,2337.25,351971288,VNMAT,2289.3315,2142.3224,2072.0945945945946,65.52141124191431,44.32388440947125,53.73618148946747,-9.412297079996222,2360.4992651084035,2218.163734891596,2.3179967604955554,1.343317085562898
2025-08-06,2337.25,2414.03,2337.25,2397.91,174518204,VNMAT,2298.5195,2150.9222,2075.0036607142856,71.27043235970379,49.57583410352072,52.90411201227812,-3.3282779087574,2375.988253762225,2221.0507462377745,2.595357792277242,1.4371555826757774
2025-08-07,2397.91,2493.11,2397.91,2489.78,238693686,VNMAT,2311.1995,2161.487,2078.6742477876105,77.4131003077884,60.45430370309214,54.41415035044092,6.040153352651217,2421.686845972282,2200.7121540277185,3.8312530495306474,1.6255751339342246
2025-08-08,2489.78,2510.2,2443.56,2474.49,207804112,VNMAT,2320.8010000000004,2171.6798,2082.1463157894736,74.55597773967473,67.06866816197999,56.94505391274873,10.123614249231252,2452.173878062883,2189.428121937118,-0.6141104836572042,1.604258659096812
2025-08-11,2474.49,2501.62,2463.03,2484.58,168268883,VNMAT,2331.261,2182.2731999999996,2085.645739130435,75.20629342948993,72.2914475168127,60.01433263356152,12.277114883251173,2479.6216691957447,2182.900330804255,0.4077607911125103,1.5951384489263851
2025-08-12,2499.52,2542.32,2484.58,2513.58,171878613,VNMAT,2344.189,2192.8096,2089.3348275862068,77.02392485704752,77.87292481741588,63.586051070332395,14.286873747083483,2508.753230160809,2179.624769839191,1.1671992851910673,1.569889138271637
2025-08-13,2519.37,2529.9,2461.77,2488.85,172704958,VNMAT,2354.2475000000004,2202.9742,2092.749487179487,72.16540249310597,79.38567284703458,66.74597542567284,12.639697421361745,2528.571247317874,2179.9237526821266,-0.9838556958600919,1.591181355435158
2025-08-14,2497.75,2508.41,2470.27,2486.18,152050757,VNMAT,2364.1585000000005,2213.1692,2096.0836440677967,71.63998338117646,79.45320280930537,69.28742090239935,10.16578190690602,2545.030217061099,2183.286782938902,-0.10727846194025226,1.5930732949413577
2025-08-15,2502.28,2519.65,2454.34,2463.23,199260547,VNMAT,2373.149,2222.833,2099.168907563025,67.11660498168973,76.76989206397002,70.78391513471348,5.9859769292565375,2554.995737423517,2191.302262576483,-0.9231029129025181,1.6161533450903742
2025-08-18,2485.26,2523.07,2463.23,2497.21,152796203,VNMAT,2382.8965,2233.2036,2102.4859166666665,70.12440762505037,76.50336778128349,71.92780566402749,4.575562117255998,2569.579302666923,2196.2136973330767,1.3794895320372147,1.6286766205691516
2025-08-19,2511.03,2515.13,2470.9,2474.46,133597218,VNMAT,2390.6155,2242.9632,2105.560082644628,65.78582640870349,73.60790439420634,72.26382541006326,1.3440789841430814,2579.1198791170755,2202.1111208829243,-0.9110166946312059,1.6527953528663255
2025-08-20,2475.74,2479.54,2378.35,2408.43,212521858,VNMAT,2393.8844999999997,2251.3628,2108.04262295082,55.12539417766391,65.2331920038273,70.85769872881608,-5.624506724988777,2581.179472475865,2206.589527524134,-2.668460997550992,1.7745220380660363
2025-08-21,2411.18,2436.77,2388.94,2395.57,139459049,VNMAT,2397.685,2258.676,2110.380243902439,53.31337411118417,56.90254050704789,68.06666708446244,-11.16412657741455,2581.685580948735,2213.6844190512647,-0.5339578065378547,1.761512836677289
2025-08-22,2366.07,2398.44,2298.53,2304.13,217280777,VNMAT,2396.7275,2264.6787999999997,2111.942741935484,42.59261512039212,42.43285582430599,62.93990483243115,-20.507049008125158,2582.54864398698,2210.90635601302,-3.817045630058824,1.9749682844658023
2025-08-25,2335.16,2349.8,2282.1,2287.76,113690468,VNMAT,2393.5480000000002,2269.5742,2113.34928,41.002964209325036,29.306774026439143,56.21327867123275,-26.906504644793607,2584.7369269640967,2202.3590730359037,-0.7104633853124542,1.958557471864225
2025-08-26,2298.27,2376.58,2256.82,2376.58,88606637,VNMAT,2399.202,2275.8846000000003,2115.438412698413,51.56551711988071,25.77418260045806,50.12545945707782,-24.351276856619755,2580.6371001380485,2217.766899861952,3.8824002517746425,1.9588394426529165
2025-08-27,2379.49,2402.96,2346.18,2348.59,125528342,VNMAT,2402.107,2281.493,2117.274251968504,48.611874880714744,20.479939373829893,44.196355440428235,-23.71641606659834,2577.988718040992,2226.225281959008,-1.1777428068905693,1.9712582178561873
2025-08-28,2363.86,2398.91,2348.59,2371.82,89691567,VNMAT,2407.4965,2287.6934,2119.262890625,51.11457548415268,17.951743804547732,38.94743311325214,-20.995689308704407,2571.787262308775,2243.2057376912253,0.9891041007583201,1.9551408350821482
2025-08-29,2380.24,2415.24,2368.28,2389.98,127416289,VNMAT,2413.734,2294.2928,2121.361472868217,53.03999588683437,17.21504649180997,34.60095578896371,-17.385909297153738,2564.170803923558,2263.2971960764417,0.7656567530419656,1.957836183486775
2025-09-03,2386.12,2484.0,2377.16,2437.22,199110862,VNMAT,2421.38,2301.9248000000002,2123.7911538461535,57.7065665843622,20.210112169958393,31.72278706516265,-11.512674895204256,2559.126951365628,2283.6330486343722,1.976585578121992,1.9909373239429793
